Chapter,Role,Name,Country
Technical Summary,Coordinating Lead Author,Martin Parry,United Kingdom
Technical Summary,Coordinating Lead Author,Osvaldo F. Canziani,Argentina
Technical Summary,Coordinating Lead Author,Jean P. Palutikof,United Kingdom
,,,
Technical Summary,Lead Author,Neil Adger,United Kingdom
Technical Summary,Lead Author,Pramod Aggarwal,India
Technical Summary,Lead Author,Shardul Agrawala,France
Technical Summary,Lead Author,Joseph M. Alcamo,Germany
Technical Summary,Lead Author,Abdelkader Allali,Morocco
Technical Summary,Lead Author,Oleg A. Anisimov,Russian Federation
Technical Summary,Lead Author,Nigel Arnell,United Kingdom
Technical Summary,Lead Author,Michel Boko,France
Technical Summary,Lead Author,Timothy Carter,Finland
Technical Summary,Lead Author,Gino Casassa,Chile
Technical Summary,Lead Author,Ulisses Confalonieri,Brazil
Technical Summary,Lead Author,Rex Victor Cruz,Philippines
Technical Summary,Lead Author,Edmundo De Alba Alcaraz,Mexico
Technical Summary,Lead Author,William Easterling,USA
Technical Summary,Lead Author,Christopher B. Field,USA
Technical Summary,Lead Author,Andreas Fischlin,Switzerland
Technical Summary,Lead Author,B. Blair Fitzharris,New Zealand
Technical Summary,Lead Author,Carlos Gay Garcia,Mexico
Technical Summary,Lead Author,Hideo Harasawa,Japan
Technical Summary,Lead Author,Kevin Hennessy,Australia
Technical Summary,Lead Author,Saleemul Huq,United Kingdom
Technical Summary,Lead Author,Roger N. Jones,Australia
Technical Summary,Lead Author,Lucka Kajfez-Bogataj,Slovenia
Technical Summary,Lead Author,David J. Karoly,Australia
Technical Summary,Lead Author,Richard J.T. Klein,Sweden
Technical Summary,Lead Author,Zbigniew Kundzewicz,Poland
Technical Summary,Lead Author,Murari Lal,India
Technical Summary,Lead Author,Rodel Lasco,Philippines
Technical Summary,Lead Author,Geoff Love,Australia
Technical Summary,Lead Author,Xianfu Lu,China
Technical Summary,Lead Author,Graciela Odilia Magrin,Argentina
Technical Summary,Lead Author,Luis Jose Mata,Germany
Technical Summary,Lead Author,Bettina Menne,Germany
Technical Summary,Lead Author,Guy Midgley,South Africa
Technical Summary,Lead Author,Nobuo Mimura,Japan
Technical Summary,Lead Author,M. Monirul Qader Mirza,Canada
Technical Summary,Lead Author,José Moreno,Spain
Technical Summary,Lead Author,Linda Mortsch,Canada
Technical Summary,Lead Author,Isabelle Niang-Diop,Senegal
Technical Summary,Lead Author,Robert J. Nicholls,United Kingdom
Technical Summary,Lead Author,Belá Nováky,Hungary
Technical Summary,Lead Author,Leonard Nurse,Barbados
Technical Summary,Lead Author,Anthony Nyong,Nigeria
Technical Summary,Lead Author,Michael Oppenheimer,USA
Technical Summary,Lead Author,Anand Patwardhan,India
Technical Summary,Lead Author,Patricia Romero Lankao,USA
Technical Summary,Lead Author,Cynthia Rosenzweig,USA
Technical Summary,Lead Author,Stephen Schneider,USA
Technical Summary,Lead Author,Serguei M. Semenov,Russian Federation
Technical Summary,Lead Author,Joel B. Smith,USA
Technical Summary,Lead Author,John M.R. Stone,Canada
Technical Summary,Lead Author,Jean-Pascal van Ypersele,Belgium
Technical Summary,Lead Author,David Vaughan,United Kingdom
Technical Summary,Lead Author,Coleen Vogel,South Africa
Technical Summary,Lead Author,Thomas J. Wilbanks,USA
Technical Summary,Lead Author,Poh Poh Wong,Singapore
Technical Summary,Lead Author,Shaohong Wu,China
Technical Summary,Lead Author,Gary Yohe,USA
,,,
Technical Summary,Contributing Author,Deborah Hemming,United Kingdom
Technical Summary,Contributing Author,Pete Falloon,United Kingdom
,,,
Technical Summary,Review Editor,Wolfgang P. Cramer,Germany
Technical Summary,Review Editor,Daniel Murdiyarso,Indonesia
