#,Chapter,Role,Name (Country)
02,Foundations for decisionmaking,Coordinating Lead Author,Roger Jones (Australia)
02,Foundations for decisionmaking,Coordinating Lead Author,Anand Patwardhan (India)
,,,
02,Foundations for decisionmaking,Lead Author,Stewart Cohen (Canada)
02,Foundations for decisionmaking,Lead Author,Suraje Dessai (United Kingdom / Portugal)
02,Foundations for decisionmaking,Lead Author,Annamaria Lammel (France)
02,Foundations for decisionmaking,Lead Author,Robert Lempert (United States)
02,Foundations for decisionmaking,Lead Author,M. Monirul Qader Mirza (Bangladesh / Canada)
02,Foundations for decisionmaking,Lead Author,Hans von Storch (Germany)
,,,
02,Foundations for decisionmaking,Review Editor,Rosina Bierbaum (United States)
02,Foundations for decisionmaking,Review Editor,Nicholas King (South Africa)
,,,
02,Foundations for decisionmaking,Volunteer Chapter Scientist,Pankaj Kumar (India)
,,,
02,Foundations for decisionmaking,Contributing Author,Werner Krauss (Germany)
02,Foundations for decisionmaking,Contributing Author,Johanna Wolf (Germany / Canada)
02,Foundations for decisionmaking,Contributing Author,Celeste Young (Australia)
