Chapter,Role,Name,Country
"Ecosystems, their properties, goods and services",Coordinating Lead Author,Andreas Fischlin,Switzerland
"Ecosystems, their properties, goods and services",Coordinating Lead Author,Guy Midgley,South Africa
,,,
"Ecosystems, their properties, goods and services",Lead Author,Jeff Price,USA
"Ecosystems, their properties, goods and services",Lead Author,Rik Leemans,The Netherlands
"Ecosystems, their properties, goods and services",Lead Author,Brij Gopal,India
"Ecosystems, their properties, goods and services",Lead Author,Carol Turley,United Kingdom
"Ecosystems, their properties, goods and services",Lead Author,Mark Rounsevell,Belgium
"Ecosystems, their properties, goods and services",Lead Author,Pauline O. Dube,Botswana
"Ecosystems, their properties, goods and services",Lead Author,Juan Tarazona,Peru
"Ecosystems, their properties, goods and services",Lead Author,Andrei A. Velichko,Russian Federation
,,,
"Ecosystems, their properties, goods and services",Contributing Author,Julius Atlhopheng,Botswana
"Ecosystems, their properties, goods and services",Contributing Author,Martin Beniston,Switzerland
"Ecosystems, their properties, goods and services",Contributing Author,William J. Bond,South Africa
"Ecosystems, their properties, goods and services",Contributing Author,Keith Brander,Denmark
"Ecosystems, their properties, goods and services",Contributing Author,Harald Bugmann,Switzerland
"Ecosystems, their properties, goods and services",Contributing Author,Terry V. Callaghan,Sweden
"Ecosystems, their properties, goods and services",Contributing Author,Jacqueline De Chazal,Belgium
"Ecosystems, their properties, goods and services",Contributing Author,Oagile Dikinya,Australia
"Ecosystems, their properties, goods and services",Contributing Author,Antoine Guisan,Switzerland
"Ecosystems, their properties, goods and services",Contributing Author,Dimitrios Gyalistras,Switzerland
"Ecosystems, their properties, goods and services",Contributing Author,Lesley Hughes,Australia
"Ecosystems, their properties, goods and services",Contributing Author,Barney S. Kgope,South Africa
"Ecosystems, their properties, goods and services",Contributing Author,Christian Korner,Switzerland
"Ecosystems, their properties, goods and services",Contributing Author,Wolfgang Lucht,Germany
"Ecosystems, their properties, goods and services",Contributing Author,Nick Lunn,Canada
"Ecosystems, their properties, goods and services",Contributing Author,Ron Neilson,USA
"Ecosystems, their properties, goods and services",Contributing Author,Martin Pêcheux,France
"Ecosystems, their properties, goods and services",Contributing Author,Wilfred Thuiller,France
"Ecosystems, their properties, goods and services",Contributing Author,Rachel Warren,United Kingdom
,,,
"Ecosystems, their properties, goods and services",Review Editor,Wolfgang P. Cramer,Germany
"Ecosystems, their properties, goods and services",Review Editor,Sandra Myrna Diaz,Argentina
