Chapter,Role,Name (Country)
Non-Tidal Wetlands,Coordinating Lead Author,Mats Oquist (Sweden)
Non-Tidal Wetlands,Coordinating Lead Author,B.H. Svensson (Sweden)
,,
Non-Tidal Wetlands,Lead Author,Peter M. Groffman (USA)
Non-Tidal Wetlands,Lead Author,Melissa Taylor (Canada)
,,
Non-Tidal Wetlands,Contributing Author,"K.B. Bartlett, USA"
Non-Tidal Wetlands,Contributing Author,Michel Boko (Benin)
Non-Tidal Wetlands,Contributing Author,J. Brouwer (The Netherlands)
Non-Tidal Wetlands,Contributing Author,Osvaldo F. Canziani (Argentina)
Non-Tidal Wetlands,Contributing Author,C.B. Craft (USA)
Non-Tidal Wetlands,Contributing Author,"J. Laine, Finland"
Non-Tidal Wetlands,Contributing Author,D. Larson (USA)
Non-Tidal Wetlands,Contributing Author,P.J. Martikainen (Finland)
Non-Tidal Wetlands,Contributing Author,E. Matthews (USA)
Non-Tidal Wetlands,Contributing Author,W. Mullie (The Netherlands)
Non-Tidal Wetlands,Contributing Author,S. Page (United Kingdom)
Non-Tidal Wetlands,Contributing Author,C.J. Richardson (USA)
Non-Tidal Wetlands,Contributing Author,J. Rieley (United Kingdom)
Non-Tidal Wetlands,Contributing Author,Nigel Roulet (Canada)
Non-Tidal Wetlands,Contributing Author,J. Silvola (Finland)
Non-Tidal Wetlands,Contributing Author,Y. Zhang (China)
