Chapter,Role,Name,Country
Latin America,Coordinating Lead Author,Carlos Gay Garcia,Mexico
Latin America,Coordinating Lead Author,Graciela Odilia Magrin,Argentina
,,,
Latin America,Lead Author,David Cruz Choque,Bolivia
Latin America,Lead Author,Juan Carlos Giménez,Argentina
Latin America,Lead Author,Ana Rosa Moreno,Mexico
Latin America,Lead Author,Gustavo Nagy,Uruguay
Latin America,Lead Author,Carlos A. Nobre,Brazil
Latin America,Lead Author,Alicia Villamizar,Venezuela
,,,
Latin America,Contributing Author,Francisco Estrada Porrúa,Mexico
Latin America,Contributing Author,Jose Marengo,Brazil
Latin America,Contributing Author,Rafael Rodriguez Acevedo,Venezuela
Latin America,Contributing Author,Maria Isabel Travasso,Argentina
Latin America,Contributing Author,Ricardo Zapata-Marti,Chile
,,,
Latin America,Review Editor,Maximiliano Campos,Costa Rica
Latin America,Review Editor,Edmundo De Alba Alcaraz,Mexico
Latin America,Review Editor,Philip M. Fearnside,Brazil
