Role,Name (Country)
,BO LIM (UK/UNDP)
,GRAHAM FARQUHAR (AUSTRALIA)
,N.H. RAVINDRANATH (INDIA) 
,
Lead Author,J. Ford-Robertson (New Zealand)
Lead Author,Y. Sokona (Mali)
Lead Author,E. Vine (USA) 
,
Contributors,K. Paustian (USA)
Contributors,S. Calman (New Zealand)
Contributors,P. Frost (Zimbabwe)
Contributors,A. Kokorin (Russian Federation)
Contributors,G. Inoue (Japan)
,
Review Editor,K. Ramakrishna (India)
