#,Chapter,Role,Name (Country)
5,Information from Paleoclimate Archives,Coordinating Lead Author,Valérie Masson-Delmotte (France)
5,Information from Paleoclimate Archives,Coordinating Lead Author,Michael Schulz (Germany)
,,,
5,Information from Paleoclimate Archives,Lead Author,Ayako Abe-Ouchi (Japan)
5,Information from Paleoclimate Archives,Lead Author,Jürg Beer (Switzerland)
5,Information from Paleoclimate Archives,Lead Author,Andrey Ganopolski (Germany)
5,Information from Paleoclimate Archives,Lead Author,Jesus Fidel González Rouco (Spain)
5,Information from Paleoclimate Archives,Lead Author,Eystein Jansen (Norway)
5,Information from Paleoclimate Archives,Lead Author,Kurt Lambeck (Australia)
5,Information from Paleoclimate Archives,Lead Author,Jürg Luterbacher (Germany)
5,Information from Paleoclimate Archives,Lead Author,Tim Naish (New Zealand)
5,Information from Paleoclimate Archives,Lead Author,Timothy Osborn (UK)
5,Information from Paleoclimate Archives,Lead Author,Bette Otto-Bliesner (USA)
5,Information from Paleoclimate Archives,Lead Author,Terrence Quinn (USA)
5,Information from Paleoclimate Archives,Lead Author,Rengaswamy Ramesh (India)
5,Information from Paleoclimate Archives,Lead Author,Maisa Rojas (Chile)
5,Information from Paleoclimate Archives,Lead Author,XueMei Shao (China)
5,Information from Paleoclimate Archives,Lead Author,Axel Timmermann (USA)
,,,
5,Information from Paleoclimate Archives,Contributing Author,Kevin Anchukaitis (USA)
5,Information from Paleoclimate Archives,Contributing Author,Julie Arblaster (Australia)
5,Information from Paleoclimate Archives,Contributing Author,Patrick J. Bartlein (USA)
5,Information from Paleoclimate Archives,Contributing Author,Gerardo Benito (Spain)
5,Information from Paleoclimate Archives,Contributing Author,Peter Clark (USA)
5,Information from Paleoclimate Archives,Contributing Author,Josefino C. Comiso (USA)
5,Information from Paleoclimate Archives,Contributing Author,Thomas Crowley (UK)
5,Information from Paleoclimate Archives,Contributing Author,Patrick De Deckker (Australia)
5,Information from Paleoclimate Archives,Contributing Author,Anne de Vernal (Canada)
5,Information from Paleoclimate Archives,Contributing Author,Barbara Delmonte (Italy)
5,Information from Paleoclimate Archives,Contributing Author,Pedro DiNezio (USA)
5,Information from Paleoclimate Archives,Contributing Author,Trond Dokken (Norway)
5,Information from Paleoclimate Archives,Contributing Author,Harry J. Dowsett (USA)
5,Information from Paleoclimate Archives,Contributing Author,R. Lawrence Edwards (USA)
5,Information from Paleoclimate Archives,Contributing Author,Hubertus Fischer (Switzerland)
5,Information from Paleoclimate Archives,Contributing Author,Dominik Fleitmann (UK)
5,Information from Paleoclimate Archives,Contributing Author,Gavin Foster (UK)
5,Information from Paleoclimate Archives,Contributing Author,Claus Fröhlich (Switzerland)
5,Information from Paleoclimate Archives,Contributing Author,Aline Govin (Germany)
5,Information from Paleoclimate Archives,Contributing Author,Alex Hall (USA)
5,Information from Paleoclimate Archives,Contributing Author,Julia Hargreaves (Japan)
5,Information from Paleoclimate Archives,Contributing Author,Alan Haywood (UK)
5,Information from Paleoclimate Archives,Contributing Author,Chris Hollis (New Zealand)
5,Information from Paleoclimate Archives,Contributing Author,Ben Horton (USA)
5,Information from Paleoclimate Archives,Contributing Author,Masa Kageyama (France)
5,Information from Paleoclimate Archives,Contributing Author,Reto Knutti (Switzerland)
5,Information from Paleoclimate Archives,Contributing Author,Robert Kopp (USA)
5,Information from Paleoclimate Archives,Contributing Author,Gerhard Krinner (France)
5,Information from Paleoclimate Archives,Contributing Author,Amaelle Landais (France)
5,Information from Paleoclimate Archives,Contributing Author,Camille Li (Norway/Canada)
5,Information from Paleoclimate Archives,Contributing Author,Dan Lunt (UK)
5,Information from Paleoclimate Archives,Contributing Author,Natalie Mahowald (USA)
5,Information from Paleoclimate Archives,Contributing Author,Shayne McGregor (Australia)
5,Information from Paleoclimate Archives,Contributing Author,Gerald Meehl (USA)
5,Information from Paleoclimate Archives,Contributing Author,Jerry X. Mitrovica (USA/Canada)
5,Information from Paleoclimate Archives,Contributing Author,Anders Moberg (Sweden)
5,Information from Paleoclimate Archives,Contributing Author,Manfred Mudelsee (Germany)
5,Information from Paleoclimate Archives,Contributing Author,Daniel R. Muhs (USA)
5,Information from Paleoclimate Archives,Contributing Author,Stefan Mulitza (Germany)
5,Information from Paleoclimate Archives,Contributing Author,Stefanie Müller (Germany)
5,Information from Paleoclimate Archives,Contributing Author,James Overland (USA)
5,Information from Paleoclimate Archives,Contributing Author,Frédéric Parrenin (France)
5,Information from Paleoclimate Archives,Contributing Author,Paul Pearson (UK)
5,Information from Paleoclimate Archives,Contributing Author,Alan Robock (USA)
5,Information from Paleoclimate Archives,Contributing Author,Eelco Rohling (Australia)
5,Information from Paleoclimate Archives,Contributing Author,Ulrich Salzmann (UK)
5,Information from Paleoclimate Archives,Contributing Author,Joel Savarino (France)
5,Information from Paleoclimate Archives,Contributing Author,Jan Sedláček (Switzerland)
5,Information from Paleoclimate Archives,Contributing Author,Jeremy Shakun (USA)
5,Information from Paleoclimate Archives,Contributing Author,Drew Shindell (USA)
5,Information from Paleoclimate Archives,Contributing Author,Jason Smerdon (USA)
5,Information from Paleoclimate Archives,Contributing Author,Olga Solomina (Russian Federation)
5,Information from Paleoclimate Archives,Contributing Author,Pavel Tarasov (Germany)
5,Information from Paleoclimate Archives,Contributing Author,Bo Vinther (Denmark)
5,Information from Paleoclimate Archives,Contributing Author,Claire Waelbroeck (France)
5,Information from Paleoclimate Archives,Contributing Author,Dieter Wolf-Gladrow (Germany)
5,Information from Paleoclimate Archives,Contributing Author,Yusuke Yokoyama (Japan)
