Chapter,Role,Name (Country)
Mitigation Potential and Costs,Coordinating Lead Author,Manfred Fischedick (Germany)
Mitigation Potential and Costs,Coordinating Lead Author,Roberto Schaeffer (Brazil)
,,
Mitigation Potential and Costs,Lead Author,Akintayo Adedoyin (Botswana)
Mitigation Potential and Costs,Lead Author,Makoto Akai (Japan)
Mitigation Potential and Costs,Lead Author,Thomas Bruckner (Germany)
Mitigation Potential and Costs,Lead Author,Leon Clarke (USA)
Mitigation Potential and Costs,Lead Author,Volker Krey (Austria/Germany)
Mitigation Potential and Costs,Lead Author,Ilkka Savolainen (Finland)
Mitigation Potential and Costs,Lead Author,Sven Teske (Germany)
Mitigation Potential and Costs,Lead Author,Diana Ürge-Vorsatz (Hungary)
Mitigation Potential and Costs,Lead Author,Raymond Wright † (Jamaica)
,,
Mitigation Potential and Costs,Contributing Author,Gunnar Luderer (Germany)
,,
Mitigation Potential and Costs,Review Editor,Erin Baker (USA)
Mitigation Potential and Costs,Review Editor,Keywan Riahi (Austria)
