Chapter,Role,Name,Country
Australia and New Zealand,Coordinating Lead Author,B. Blair Fitzharris,New Zealand
Australia and New Zealand,Coordinating Lead Author,Kevin Hennessy,Australia
,,,
Australia and New Zealand,Lead Author,Bryson C. Bates,Australia
Australia and New Zealand,Lead Author,Nicholas Harvey,Australia
Australia and New Zealand,Lead Author,Mark Howden,Australia
Australia and New Zealand,Lead Author,Lesley Hughes,Australia
Australia and New Zealand,Lead Author,Michael James "Jim" Salinger,New Zealand
Australia and New Zealand,Lead Author,Richard A. Warrick,New Zealand
,,,
Australia and New Zealand,Contributing Author,Susanne Becken,New Zealand
Australia and New Zealand,Contributing Author,Lynda Chambers,Australia
Australia and New Zealand,Contributing Author,Anthony Coleman,Australia
Australia and New Zealand,Contributing Author,Matt Dunn,New Zealand
Australia and New Zealand,Contributing Author,Donna Green,Australia
Australia and New Zealand,Contributing Author,Roderick Henderson,New Zealand
Australia and New Zealand,Contributing Author,Alistair Hobday,Australia
Australia and New Zealand,Contributing Author,Ove Hoegh-Guldberg,Australia
Australia and New Zealand,Contributing Author,Gavin Kenny,New Zealand
Australia and New Zealand,Contributing Author,Darren King,New Zealand
Australia and New Zealand,Contributing Author,Guy Penny,New Zealand
Australia and New Zealand,Contributing Author,Rosalie Woodruff,Australia
,,,
Australia and New Zealand,Review Editor,Michael J. Coughlan,Australia
Australia and New Zealand,Review Editor,Henrik Moller,New Zealand
