Chapter,Role,Name,Country
Waste Management,Coordinating Lead Author,Jean E. Bogner,USA
,,,
Waste Management,Lead Author,Mohammed Abdelrafie Ahmed,Sudan
Waste Management,Lead Author,Cristobal Felix Diaz Morejon,Cuba
Waste Management,Lead Author,Andre P.C. Faaij,The Netherlands
Waste Management,Lead Author,Qingxian Gao,China
Waste Management,Lead Author,Seiji Hashimoto,Japan
Waste Management,Lead Author,Katarina Mareckova,Austria
Waste Management,Lead Author,Riitta Pipatti,Finland
Waste Management,Lead Author,Tianzhu Zhang,China
,,,
Waste Management,Contributing Author,Luis F. Diaz,USA
Waste Management,Contributing Author,Peter Kjeldsen,Denmark
Waste Management,Contributing Author,Suvi Monni,Finland
,,,
Waste Management,Review Editor,Robert Gregory,United Kingdom
Waste Management,Review Editor,R.T.M. Sutamihardja,Indonesia
