Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,8537.5973065047,9269.1462820823,9446.1583253916,9421.4523274798,9590.7774241818,8706.8293789767,7041.42332005,7554.5120166079,7957.790064542,8029.9870873584,8528.7600593506,9057.7234687143,9088.5794431159,9707.2228317181,10138.1239913698,10376.3647760188,10525.9500320722,10628.0592574181,10013.879479798,10330.8661540897,13562.7341428428,12846.4533329503,13149.3132931579,14344.9282229448,16027.3447560328,18156.3774747039,19459.7312136457,21049.5734146754,23037.8785746728,19251.1237340956,20545.9694536416,22466.8838770729,23039.6842219595,24612.5420589236
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.3374336237,1651.4592951961,1752.9531164064,1867.124019352,1994.5402944666,2144.907585773,2322.9756385302,2556.8688574433,2804.6698214309,3215.4477695611,3179.2389963452,3297.9231251474,3322.5746609388,3696.642595419,3416.5869787193,3156.4680594233,3328.5812602058,3617.1227386642,4130.7918674415,5531.9895553248,6338.6498053736,6622.4395461551,7165.1671645315,7695.0405002132,8873.8078203935,9888.6157726986,10339.3479331758,11150.5066701726,11381.5458610174,12157.4030326011,12350.8804781187,11915.4966258397,11683.7093240435,11405.1751166522,11815.6768907258,12244.2420996251,12722.1709120905,17295.4696787464,18465.1393803936,20515.0319313527,21250.5818463926,21506.7441131334,22514.9447157155,22017.7077788761,22005.003101737,23416.9036853364,23733.8076764932,24321.0651105543,23674.1402078429,22060.9209798811,21881.0839449872,21490.3570814373,21908.2804602645,
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.1708413679,530.1264166878,799.3072568833,1038.4102416798,1130.7063918209,1248.8605403724,1435.957685801,1481.9457148652,1706.5019539099,2148.4843457988,2578.7380873092,2821.7877499399,3199.8968360013,3949.8420812491,4802.4667441159,4433.1461787084,4361.9940148335,4754.1978607107,4395.8288948981,4655.5970233928
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.7403040648,1747.4386712776,1666.2275129416,1590.0354090294,1460.0175436025,1370.6727097518,1452.4470018171,1396.5021663727,1511.7702679813,1209.6148807799,1273.0491239487,1244.4419967652,1479.4653211322,1819.4790277163,2378.374893912,3126.3677777946,3848.5962993272,4735.9531376386,6377.3596920726,5176.044701382,5818.8548592158,6305.7736624765,6721.8349077397,7575.482110114
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,304.9105550689,316.417307019,327.1166456162,336.9415830505,351.165332312,377.5872027185,406.1091238146,420.4057603594,386.9532469547,396.6576424384,435.7011786159,474.4480222259,519.5716725044,605.9334424752,786.0750610516,885.9779085781,717.0507881724,858.8155426269,980.7731053737,1074.2491578679,1351.0138674029,1307.2116883293,1183.1839364216,1212.9380053908,1315.3135173567,1268.22139756,1343.8751496635,1587.0876097561,1760.1421975786,1980.4437851752,2202.3224705682,2323.9032986962,2658.5922526395,2821.0848367608,2870.1060117381,2995.8725363,3019.523641498,2994.2610035783,3060.5264401346,3159.6997919822,3486.1643181075,3555.6601415867,3704.5367650162,3833.4249417448,3991.2843344401,4097.5286849073,4363.854687528,4509.1475771849,4665.39939498,4446.6074893029,4531.8297444871,4707.85380043,4852.4964512745,4834.2874359747
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1902.4021189224,1961.5381692465,2020.3859650335,2020.2652475245,2199.7270069118,2282.2165461624,2630.8504663295,2982.7497042611,2830.1886792453,3053.7037037037,3387.2727272727,3866.3003663004,4343.1734317343,5009.2936802974,5853.9325842697,6509.4339622642,7261.2781954887,8370.7865168539,8876.8656716418,9613.3828996283,11218.2178159868,13425.9769663942,14166.1712925391,15902.0203826211,17469.8255675877,18269.5355197019,20450.6645289464,22411.7956749468,24253.1755188784,25517.9217212488,26841.5197383946,27700.3095169516,28669.6822595785,30900.6948905109,31476.0631153068,33989.7223579821,44826.7890701658,48478.8832504091,51371.7408069836,54245.459737293,56284.1686478094,58883.9594265967,62583.1002034588,66111.7252270036,70359.3191088798,75882.0338560339,83912.6977976846,90849.5869806436,93605.7481653976,88463.3128161375,88207.3275597322,85973.158416455,84470.7552702244,
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,167.935896212,178.6670557315,191.053055856,201.1678703033,221.6076527388,242.298893066,258.9901382131,275.9853822259,226.0423660225,234.2919251632,241.1932419369,253.4997480991,283.9378101251,278.1858343932,451.3357573045,504.3222286367,559.3622234131,645.2329055604,733.7970593523,843.1610774348,845.1427662416,1071.7639876524,993.9185342768,940.9966975214,1045.6523307692,890.1661508179,640.2163312453,686.7486811802,709.3484237534,710.7025208677,716.4482872514,768.0698805824,792.3110302372,786.3573252899,801.3666810333,879.4821451615,947.4825941756,993.3838346152,1042.6105784519,995.5125509538,988.533289261,939.1453810738,893.9468884731,896.3721252364,954.9220895218,1020.7903052772,1203.254182604,1355.8872335817,1695.5621790872,1735.1433700624,1934.6660667447,2319.5959837182,2575.6836947783,2867.6397914389
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,208.3873020478,203.1904750283,257.8233013503,289.0583275143,258.6279444742,258.2388960788,312.0633232447,343.5263862686,370.7245833307,399.7325007173,440.6354470809,499.9036828902,580.6711362215,767.9947829218,994.7260067713,1143.1322182705,1377.8572335953,1552.7813322343,1728.6432615259,1891.7059084715,1930.5384705788,2115.0743765898,2208.8325932215,1558.4185235743,1567.3156065381,1636.6011617823,1928.7201744602,2074.4095157004,2287.2370014751,2893.6578079625,3086.9154907638,2677.1499078007,2526.3366238814,2791.518675235,3426.1018235555,4749.8142074655,5107.7939197046,5219.0981442674,4979.1448462642,3411.8658959803,3694.4626683281,3128.1448460541,2810.6953468642,3039.6716269426,3607.1915713555,4739.3054367481,5787.9755740091,7193.9249951995,8622.5519384149,8373.4577295411,10978.260238245,12576.1955876861,11319.9737099115,11208.0827350494
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,378.5145574693,402.4906514293,416.9630918161,467.125124908,462.231258062,487.4031853642,523.9048838061,579.8031423969,579.3322278341,649.6129249411,760.6363362055,850.5250012016,966.9243930566,1171.9880072024,1392.8767642804,1637.0323807665,1767.984642886,2003.4176294239,2233.0132850977,2701.8386998993,3458.5763285436,3792.410470628,3945.3297378187,4168.8586272643,4521.9695090834,4710.6797829284,5149.9982499123,5647.8168717162,5984.1236307758,6593.0310148207,7801.9178377938,7714.4604311315,7475.7724275089,7818.416070541,8197.2522936261,8595.2530633569,9139.8978858743,9634.3105019422,10831.8920022093,11314.0706514993,11675.2123956735,11600.4338491815,11756.2814443241,12077.8012435203,12893.5912272001,14224.9824540882,15691.8482629682,16335.9599242789,16358.0469250884,16460.7571163344,15812.2797757457,15503.3285545982,14917.1495051568,
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1112.4141173602,1235.6514836234,1233.9615299272,1360.9607378966,1301.5080102557,1380.5232796079,1455.5120903261,1909.4992901459,2925.1509785305,6953.8049553498,7265.9807181691,8507.3164348864,9968.594512313,10765.7371977044,15011.2968632187,25531.4710667628,21926.6695270197,20795.8544203138,18227.9158110774,17440.2244897655,15798.0486236401,10280.9902539147,11672.3455085421,11083.9500703691,11954.1608354992,13702.4303373225,14003.8551993647,15384.3682831303,14681.483242571,14223.2590734312,16047.3623545757,16910.4688321398,16770.7837721938,12771.0228033235,14175.6111691489,18086.6040725177,16516.8367698214,16868.3920994004,18541.924527953,21819.2867381236,25913.5783745867,30613.27686658,32109.0977538532,37093.9909039706,27211.8820645646,30880.3448566986,41059.9450916723,41126.6128435587,38563.3145093197
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,328.6612555389,345.1965494716,342.6992029307,372.0965423326,370.9007042324,367.0105548278,415.7305533713,505.1606105948,548.7193960422,521.1331186367,559.5781422479,467.4584104463,474.7159940669,453.2065313519,529.3352564778,595.2671096972,617.2933357752,702.230277497,706.2562387613,763.8289730445,778.1664454243,820.0560126041,897.3943458648,1009.1551954608,1108.5183434277,1258.990994718,1348.7308370525,1760.6026298147,1817.7810571434,1795.1494701039,2211.3405131025,2523.6748446889,2508.900461853,2498.3909149392
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,58.0179626201,61.3022879393,64.7911581131,67.4807028504,71.7859870855,76.8390054321,83.9436898388,92.8770525685,101.7898960476,115.2214617964,138.8439561372,177.2978455904,223.2795089666,318.8310018522,385.852365869,431.6554757442,435.2463696047,508.1426136732,638.7111860256,853.3145523623,1063.5123265159,1038.1779827275,947.4371725338,1057.5298324253,1082.547929276,941.0179808789,1137.9903542653,1555.6679417698,2029.2902978547,2295.467134451,2739.0734844596,2767.8774104487,2830.2121579122,2763.6490308965,2757.0427259944,2987.5213793777,2990.617273693,3029.0935513818,2831.0062176457,3179.4230066923,3297.4786841838,3078.2796315036,3006.5940704026,4098.8380263177,4829.516058551,5294.3794776948,5341.3974716473,5711.7284919795,5746.978872413,5178.4391091997,6980.3618091501,7697.396214728,7254.5626065297,7316.8839976153
Sub-Saharan Africa (IFC classification),CAA,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,74.5962912058,80.5206961826,79.9680688319,81.5878290875,87.8588066127,91.3222074333,93.845420617,95.3244020286,109.2530118977,104.9238121119,103.4097966501,108.0312858624,121.177526175,139.97824947,142.4142339593,187.698997449,218.8339562215,240.5922528786,282.8079239097,316.5156713987,350.4912063974,296.9186618355,310.3590912368,265.1259066163,249.5448518947,329.7192008207,418.0981899594,438.2050098747,452.5295512015,432.7144579086,494.6098560747,462.2702828446,462.8040662448,409.1911474483,265.9393805255,340.5047398834,300.8063240213,273.8144878586,276.5293528447,280.0030868916,251.3526400631,251.5718069714,263.1597030631,297.6143873494,326.1973133396,340.9078669472,365.4970833326,413.4814385781,474.3894790148,464.5132313011,456.5634086683,494.9260802999,479.4709838768,333.1968806279
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2294.5688142158,2231.2938237478,2255.2300441304,2354.8391219798,2529.5181790541,2739.5858492819,3010.7059075795,3173.0761935223,3411.0601543446,3703.9904052553,4115.6565142517,4579.2725433965,5133.787796102,5861.6616413073,7032.7495415935,7478.5359092253,8770.3469818635,8879.2210386748,9082.2085308025,9997.1984327658,11118.4825117581,12279.0603568666,12437.6250884183,13368.9067398958,13768.8791019052,13991.2145509173,14335.7438678744,16158.9874251888,18814.5645471792,20586.5575115274,21302.396912001,21591.1391612209,20692.7220252261,19936.3770646304,19785.6790398347,20509.0030863168,21129.4354271046,21709.2963371821,20875.2483089147,22109.6039862186,24031.9512017887,23573.7500651106,23995.0163265338,28026.0060130447,31829.522562759,36029.3226661828,40244.8530987826,44328.5097688715,46398.7024378991,40764.1214979676,47465.3459273427,51790.5669527216,52409.1931257969,51958.3812356821
East Asia and the Pacific (IFC classification),CEA,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,2404.5077033007,2480.3426690638,2677.3850213275,2452.1704623766,2274.8757551086,2303.4771300882,2409.9418283285,2737.6303134445,3427.1760945577,3671.4185904785,3661.3096551552,4024.4056428869,3908.0858602522,3891.3318391364,4290.3917444549,4854.5684446954,5847.2530083821,7031.9462191754,8190.399795707,9276.1392071243,11710.3567575373,14194.3448226563,11900.3092078952,12236.9214182595,13447.3106927685,12620.3803422699,13341.1023641592
Europe and Central Asia (IFC classification),CEU,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
