Role,Name (Country)
,R. Neil Sampson (USA)
,Robert J. Scholes (South Africa)
,
Lead Author,C. Cerri (Brazil)
Lead Author,L. Erda (China)
Lead Author,D.O. Hall (UK)
Lead Author,M. Handa (Japan)
Lead Author,P. Hill (USA)
Lead Author,M. Howden (Australia)
Lead Author,H. Janzen (Canada)
Lead Author,J. Kimble (USA)
Lead Author,R. Lal (USA)
Lead Author,G. Marland (USA)
Lead Author,K. Minami (Japan)
Lead Author,K. Paustian (USA)
Lead Author,P. Read (New Zealand)
Lead Author,P.A. Sanchez (Kenya)
Lead Author,C. Scoppa (Argentina)
Lead Author,B. Solberg (Norway)
Lead Author,M.A. Trossero (FAO)
Lead Author,S. Trumbore (USA)
Lead Author,O. Van Cleemput (Belgium)
Lead Author,A. Whitmore (UK)
Lead Author,D. Xu (China)
,
Contributor,B. Burrows (Australia)
Contributor,R. Conant (USA)
Contributor,G. Liping (China)
Contributor,W. Hall (Australia)
Contributor,W. Kaegi (Switzerland)
Contributor,P. Reyenga (Australia)
Contributor,N. Roulet (Canada)
Contributor, K.E. Skog (USA)
Contributor,G.R. Smith (USA)
Contributor,Y. Wang (China)
,
Review Editor,J.W.B. Stewart (Canada)
Review Editor,J. Stone (Canada)
