Chapter,Title,Role,Name,Institution,Country
Chapter 04,Terrestrial and inland water systems,Coordinating Lead Author,Robert Scholes,Council for Scientific and Industrial Research,South Africa
Chapter 04,Terrestrial and inland water systems,Coordinating Lead Author,Josef Settele,Helmholtz Centre for Environmental Research,Germany
,,,,,
Chapter 04,Terrestrial and inland water systems,Lead Author,Richard Betts,Met Office Hadley Centre,United Kingdom
Chapter 04,Terrestrial and inland water systems,Lead Author,Stuart Bunn,Griffith University,Australia
Chapter 04,Terrestrial and inland water systems,Lead Author,Paul Leadley,Universite Paris-Sud 11,France
Chapter 04,Terrestrial and inland water systems,Lead Author,Daniel Nepstad,Instituto de Pesquisa Ambiental da Amazônia,United States
Chapter 04,Terrestrial and inland water systems,Lead Author,Jonathan Overpeck,University of Arizona Institute of the Environment,United States
Chapter 04,Terrestrial and inland water systems,Lead Author,Miguel Angel Taboada,Instituto Nacional de Tecnología Agropecuaria,Argentina
,,,,,
Chapter 04,Terrestrial and inland water systems,Review Editor,Andreas Fischlin,"ETH Zurich, Systems Ecology",Switzerland
Chapter 04,Terrestrial and inland water systems,Review Editor,José Moreno,University of Castilla - La Mancha,Spain
Chapter 04,Terrestrial and inland water systems,Review Editor,Terry L. Root,Stanford University,United States
,,,,,
Chapter 04,Terrestrial and inland water systems,Volunteer Chapter Scientist,Martin Musche,Helmholtz Centre for Environmental Research (UFZ),Germany
Chapter 04,Terrestrial and inland water systems,Volunteer Chapter Scientist,Marten Winter,Helmholtz Centre for Environmental Research / German Centre for Integrative Biodiversity Research,Germany
,,,,,
Chapter 04,Terrestrial and inland water systems,Contributing Author,Craig Allen,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,William Anderegg,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Celine Bellard,,France
Chapter 04,Terrestrial and inland water systems,Contributing Author,Paulo Brando,,Brazil
Chapter 04,Terrestrial and inland water systems,Contributing Author,Louise Chini,,New Zealand
Chapter 04,Terrestrial and inland water systems,Contributing Author,Franck Courchamp,,France
Chapter 04,Terrestrial and inland water systems,Contributing Author,Wendy  Foden,,South Africa
Chapter 04,Terrestrial and inland water systems,Contributing Author,Dieter Gerten,,Germany
Chapter 04,Terrestrial and inland water systems,Contributing Author,Scott Goetz,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Nicola Golding,,United Kingdom
Chapter 04,Terrestrial and inland water systems,Contributing Author,Patrick Gonzalez,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Ed Hawkins,,United Kingdom
Chapter 04,Terrestrial and inland water systems,Contributing Author,Thomas Hickler,,Germany
Chapter 04,Terrestrial and inland water systems,Contributing Author,George Hurtt,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Charles Koven,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Josh Lawler,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Heike Lischke,,Switzerland
Chapter 04,Terrestrial and inland water systems,Contributing Author,Georgina M. Mace,,United Kingdom
Chapter 04,Terrestrial and inland water systems,Contributing Author,Melodie McGeoch,,Australia
Chapter 04,Terrestrial and inland water systems,Contributing Author,Camille Parmesan,,United States / United Kingdom
Chapter 04,Terrestrial and inland water systems,Contributing Author,Richard Pearson,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Adrian Rita,,Germany
Chapter 04,Terrestrial and inland water systems,Contributing Author,Beatriz Rodriguez-Labajos,,Spain
Chapter 04,Terrestrial and inland water systems,Contributing Author,Carlo Rondinini,,Italy
Chapter 04,Terrestrial and inland water systems,Contributing Author,M. Rebecca Shaw,,United States
Chapter 04,Terrestrial and inland water systems,Contributing Author,Stephen Sitch,,United Kingdom
Chapter 04,Terrestrial and inland water systems,Contributing Author,Klement Tockner,,Germany
Chapter 04,Terrestrial and inland water systems,Contributing Author,Piero Visconti,,United Kingdom
Chapter 04,Terrestrial and inland water systems,Contributing Author,Marten Winter,,Germany
