Chapter,Role,Name,Country
Sustainable Development and mitigation,Coordinating Lead Author,Adil Najam,USA
Sustainable Development and mitigation,Coordinating Lead Author,Jayant Sathaye,USA
,,,
Sustainable Development and mitigation,Lead Author,Christopher R Cocklin,Australia
Sustainable Development and mitigation,Lead Author,Thomas C. Heller,USA
Sustainable Development and mitigation,Lead Author,Franck Lecocq,France
Sustainable Development and mitigation,Lead Author,Juan F. Llanes-Regueiro,Cuba
Sustainable Development and mitigation,Lead Author,Jiahua Pan,China
Sustainable Development and mitigation,Lead Author,Gerhard Petschel-Held,Germany
Sustainable Development and mitigation,Lead Author,Steve Rayner,United Kingdom
Sustainable Development and mitigation,Lead Author,John B. Robinson,Canada
Sustainable Development and mitigation,Lead Author,Roberto Schaeffer,Brazil
Sustainable Development and mitigation,Lead Author,Youba Sokona,Tunisia
Sustainable Development and mitigation,Lead Author,Rob J. Swart,The Netherlands
Sustainable Development and mitigation,Lead Author,Harald Winkler,South Africa
,,,
Sustainable Development and mitigation,Contributing Author,Sarah Burch,Canada
Sustainable Development and mitigation,Contributing Author,Jan Corfee-Morlot,France
Sustainable Development and mitigation,Contributing Author,Rutu Dave,The Netherlands
Sustainable Development and mitigation,Contributing Author,László Pinter,Canada
Sustainable Development and mitigation,Contributing Author,Andrew B. Wyatt,Australia
,,,
Sustainable Development and mitigation,Review Editor,Mohan Munasinghe,Sri Lanka
Sustainable Development and mitigation,Review Editor,Hans Opschoor,The Netherlands
