Chapter,Role,Name (Country)
North America,Coordinating Lead Author,Stewart J. Cohen (Canada)
North America,Coordinating Lead Author,Kathleen Miller (USA)
,,
North America,Lead Author,Kirsty Duncan (Canada)
North America,Lead Author,Edward G. Gregorich (Canada)
North America,Lead Author,Peter M. Groffman (USA)
North America,Lead Author,Paul Kovacs (Canada)
North America,Lead Author,Victor Magana (Mexico)
North America,Lead Author,Diane McKnight (USA)
North America,Lead Author,Evan Mills (USA)
North America,Lead Author,David Schimel (Germany)
,,
North America,Contributing Author,G. Chichilnisky (N/A)
North America,Contributing Author,David Etkin (Canada)
North America,Contributing Author,R. Fleming (Canada)
North America,Contributing Author,K. Hall (USA)
North America,Contributing Author,S. Meyn (N/A)
North America,Contributing Author,Jonathan Patz (USA)
North America,Contributing Author,Roger Pulwarty (USA)
North America,Contributing Author,D. Scott (Canada)
North America,Contributing Author,G. Wall (N/A)
,,
North America,Review Editor,Elaine Wheaton (Canada)
