Chapter,Role,Name,"Institution, Country"
Technical Summary,,D. Albritton,"NOAA Aeronomy Laboratory, USA"
Technical Summary,,B. Bolin,"IPCC Chairman, Sweden"
Technical Summary,,B. Callander,"IPCC WGI Technical Support Unit, UK"
Technical Summary,,K. Denman,"Institute of Ocean Sciences, Canada"
Technical Summary,,R. Dickinson,"University of Arizona, USA"
Technical Summary,,L. Gates,"Lawrence Livermore National Laboratory, USA"
Technical Summary,,H. Grassl,"World Meteorological Organisation, Switzerland"
Technical Summary,,M. Grubb,"Royal Institute of International Affairs, UK"
Technical Summary,,N. Harris,"European Ozone Research Co-ordinating Unit, UK"
Technical Summary,,J. Houghton,"IPCC WGI Co-Chairman, UK"
Technical Summary,,P. Jonas,"UMIST, UK"
Technical Summary,,A. Kattenberg,"Royal Netherlands Meteorological Institute (KNMI), Netherlands"
Technical Summary,,K. Maskell,"IPCC WGI Technical Support Unit, UK"
Technical Summary,,G. McBean,"Atmospheric Environment Canada, Canada"
Technical Summary,,M. Mcfarland,"United Nations Environment Programme (UNEP), Kenya"
Technical Summary,,G. Meira,"Agência Espacial Brasileira, Brazil"
Technical Summary,,J. Melillo,"Woods Hole Oceanographic Institution, USA"
Technical Summary,,N. Nicholls,"Bureau of Meteorology Research Centre, Australia"
Technical Summary,,L. Ogallo,"University of Nairobi, Kenya"
Technical Summary,,M Oppenheimer,"Environmental Defense Fund, USA"
Technical Summary,,M. Prather,"University of California @ Irvine, USA"
Technical Summary,,B. Santer,"Lawrence Livermore National Laboratory, USA"
Technical Summary,,D. Schimel,"National Center for Atmospheric Research, USA"
Technical Summary,,K. Shine,"University of Reading, UK"
Technical Summary,,K. Trenberth,"National Center for Atmospheric Research, USA"
Technical Summary,,R. Warrick,"The University of Waikato, New Zealand"
Technical Summary,,R. Watson,"Office of Science and Technology Policy, USA"
Technical Summary,,J. Zillman,"Bureau of Meteorology, Australia"
,,,
Chapter 1: The Climate System; An overview,Convening Lead Author,,
,,,
Chapter 1: The Climate System; An overview,Lead Author,,
Chapter 1: The Climate System; An overview,Lead Author,,
,,,
Chapter 2: Radioactive Forcing of Climate Change,Convening Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Convening Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Convening Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Convening Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Convening Lead Author,,
,,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
Chapter 2: Radioactive Forcing of Climate Change,Lead Author,,
