"Role","Name (Country)"
"Edited by","MASATOSHI YOSHINO (JAPAN) "
"Edited by","SU JILAN (CHINA) "
,
"Lead Author","Byong-Lyol Lee (Korea) "
"Lead Author","H. Harasawa (Japan) "
"Lead Author","K.I. Kobak (Russia) "
"Lead Author","Lin Erda (China) "
"Lead Author","Liu Chunzen (China) "
"Lead Author","N. Mimura (Japan) "
,
"Contributor","Ding Yihui (China) "
"Contributor","M. Lal (India) "
