Role,Name (Country)
,Ian Noble (Australia)
,Michael Apps (Canada)
,Richard Houghton (USA)
,Daniel Lashof (USA)
,Willy Makundi (Tanzania)
,Daniel Murdiyarso (Indonesia)
,Brian Murray (USA)
,Wim Sombroek (Netherlands)
,Riccardo Valentini (Italy) 
,
Lead Author,M. Amano (Japan)
Lead Author,P.M. Fearnside (Brazil)
Lead Author,J. Frangi (Argentina)
Lead Author,P. Frumhoff (USA)
Lead Author,D. Goldberg (USA)
Lead Author, N. Higuchi (Brazil)
Lead Author,A. Janetos (USA)
Lead Author,M. Kirschbaum (Australia)
Lead Author,R. Lasco (Philippines)
Lead Author,G.J. Nabuurs (The Netherlands)
Lead Author,R. Persson (Sweden)
Lead Author,W. Schlesinger (USA)
Lead Author,A. Shvidenko (Russia)
Lead Author,D. Skole (USA)
Lead Author,P. Smith (UK)
,
,
,
Contributors,M. Cannell (UK)
Contributors,C. Cerri (Brazil)
Contributors,D. Goetze (Canada)
Contributors,H. Janzen (Canada)
Contributors,J. Kimble (USA)
Contributors,R. Lal (USA)
Contributors,P. Moura-Costa (Brazil)
Contributors, M. O'Brien (Australia)
Contributors,P. Sanchez (Kenya)
Contributors,T. Singh (India)
Contributors,R. Scholes (South Africa)
,
Review Editor,K. MacDicken (USA) 
Review Editor,M. Manning (New Zealand)
