Name,Institution,Country
"LE TREUT, Hervé",Institut Pierre Simon Laplace (IPSL),France
"LEAN, Judith",Naval Research Laboratory,USA
"LECK, Caroline",Stockholm University,Sweden
"LEE, Terry C.K.",University of Victoria,Canada
"LEE-TAYLOR, Julia",National Center for Atmospheric Research (NCAR),USA
"LEFEVRE, Nathalie",Institut de Recherche pour le Developpement (IRD),France
"LEITE DA SILVIA-DIAS, Pedro",University of Sao Paulo,Brazil
"LEMKE, Peter",Alfred Wegener Institute for Polar and Marine Research,Germany
"LEULIETTE, Eric",University of Colorado,USA
"LEUNG, Ruby",Pacific Northwest National Laboratory,USA
"LEVERMANN, Anders",Potsdam Institute for Climate Impact Research,Germany
"LEVINSON, David",National Oceanographic and Atmospheric Administration (NOAA),USA
"LEVITUS, Sydney",National Oceanographic and Atmospheric Administration (NOAA),USA
"LIE, Øyvind",Bjerknes Centre for Climate Research,Norway
"LIEPERT, Beate",Columbia University,USA
"LIU, Shiyin",Chinese Academy of Sciences,China
"LOHMANN, Ulrike",ETH Zurich,Switzerland
"LOUTRE, Marie-France",Université Catholique de Louvain,Belgium
"LOWE, David C.",National Institute of Water and Atmospheric Research,New Zealand
"LOWE, Jason A.",Met Office,United Kingdom
"LUO, Yong",China Meteorological Administration,China
"LUTERBACHER, Jug",University of Bern,Switzerland
"LYNCH, Amanda H.",Monash University,Australia
"MACAYEAL, Douglas",University of Chicago,USA
"MACCRACKEN, Michael C.",Climate Institute,USA
"MAGAÑA RUEDA, Victor",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"MALHI, Yadvinder",University of Oxford,United Kingdom
"MANNING, Andrew C.",University of East Anglia,United Kingdom
"MANNING, Martin",National Oceanographic and Atmospheric Administration (NOAA),USA
"MANZINI, Elisa",National Institute for Geophysics and Volcanology,Italy
"MARENGO, Jose",National Institute for Space Research (INPE),Brazil
"MARSH, Robert",University of Southampton,United Kingdom
"MARSHALL, Gareth",British Antarctic Survey,United Kingdom
"MASARIE, Ken",National Oceanographic and Atmospheric Administration (NOAA),USA
"MASSON-DELMOTTE, Valerie",Institut Pierre Simon Laplace (IPSL),France
"MATSUMOTO, Katsumi",University of Minnesota,USA
"MATSUNO, Taroh",Frontier Research Center for Global Change,Japan
"MATTHEWS, H. Damon",University of Calgary,Canada
"MATULLA, Christoph",Environment Canada,Canada
"MAURITZEN, Cecilie",Center for International Climate and Environment (CICERO),Norway
"MCAVANEY, Bryant J.",Bureau of Meteorology,Australia
"MCFIGGANS, Gordon",University of Manchester,United Kingdom
"MCINNES, Kathleen",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"MCPHADEN, Michael",National Oceanographic and Atmospheric Administration (NOAA),USA
"MEARNS, Linda O.",National Center for Atmospheric Research (NCAR),USA
"MEARS, Carl A.",Remote Sensing Systems,USA
"MEEHL, Gerald A.",National Center for Atmospheric Research (NCAR),USA
"MEINSHAUSEN, Malte",Potsdam Institute for Climate Impact Research,Germany
"MELLING, Humphrey",Fisheries and Oceans Canada,Canada
"MENENDEZ, Claudio",Universidad de Buenos Aires,Argentina
"MENON, Surabi",Lawrence Berkeley National Laboratory,USA
"MESCHERSKAYA, Anna V.",Voeikov Main Geophysical Observatory,Russian Federation
"MILLER, John B.",National Oceanographic and Atmospheric Administration (NOAA),USA
"MILLOT, Claude",Centre National de la Recherche Scientifique (CNRS),France
"MILLY, Chris",U.S. Geological Survey,USA
"MITCHELL, John F. B.",Met Office,United Kingdom
"MOKSSIT, Abdalah",Direction de la Meteorologie Nationale Maroc,Morocco
"MOLINA, Mario",University of California San Diego,USA
"MOLINARI, Robert",National Oceanographic and Atmospheric Administration (NOAA),USA
"MONAHAN, Adam H.",University of Victoria,Canada
"MONNIN, Eric",University of Bern,Switzerland
"MONTZKA, Steve",National Oceanographic and Atmospheric Administration (NOAA),USA
"MOSLEY-THOMPSON, Ellen",Ohio State University,USA
"MOTE, Philip",University of Washington,USA
"MUHS, Daniel",U.S. Geological Survey,USA
"MULLAN, A. Brett",National Institute of Water and Atmospheric Research,New Zealand
"MÜLLER, Simon A.",University of Bern,Switzerland
"MURPHY, James M.",Met Office,United Kingdom
"MUSCHELER, Raimund",National Aeronautics and Space Administration (NASA),USA
"MYHRE, Gunnar",University of Oslo,Norway
"NAKAJIMA, Teruyuki",University of Tokyo,Japan
"NAKAMURA, Hisashi",University of Tokyo,Japan
"NAWRATH, Susanne",Potsdam Institute for Climate Impact Research,Germany
"NEREM, Robert",University of Colorado,USA
"NEW, Mark",University of Oxford,United Kingdom
"NGANGA, John",University of Nairobi,Kenya
"NICHOLLS, Neville",Monash University,Australia
"NODA, Akira",Meteorological Research Institute,Japan
"NOJIRI, Yukihiro",Secretariat of Council for Science and Technology Policy Cabinet Office,Japan
"NORRIS, Joel",University of California San Diego,USA
"NOZAWA, Toru",National Institute for Environmental Studies,Japan
"O'SHAUGHNESSY, Kath",National Institute of Water and Atmospheric Research,New Zealand
"OERLEMANS, Johannes",University of Utrecht,The Netherlands
"OGALLO, Laban J.",IGAD Climate Prediction and Application Centre,Kenya
"OHMURA, Atsumu",Swiss Federal Institute of Technology,Switzerland
"OKI, Taikan",University of Tokyo,Japan
"OLAGO, Daniel",University of Nairobi,Kenya
"ONO, Tsuneo",Hokkaido National Fisheries Research Institute,Japan
"OPPENHEIMER, Michael",Princeton University,USA
"ORAM, David",University of East Anglia,United Kingdom
"ORR, James",International Atomic Energy Agency (IAEA),Monaco
"OSBORN, Timothy",University of East Anglia,United Kingdom
"OTTO-BLIESNER, Bette",National Center for Atmospheric Research (NCAR),USA
"OVERPECK, Jonathan",University of Arizona,USA
"PAASCHE, Øyvind",Bjerknes Centre for Climate Research,Norway
"PAHLOW, Markus",Dalhousie University,Canada
"PAL, Jeremy S.",Loyola Marymount University,USA
"PALMER, Timothy N.",European Centre for Medium-Range Weather Forecasts (ECMWF),United Kingdom
"PANT, Govind Ballabh",Indian Institute of Tropical Meteorology,India
"PARKER, David E.",Met Office,United Kingdom
"PARRENIN, Frederic",Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE),France
"PAVLOVA, Tatiana",Voeikov Main Geophysical Observatory,Russian Federation
"PAYNE, Antony",University of Bristol,United Kingdom
"PELTIER, W. Richard",University of Toronto,Canada
"PENG, Tsung-Hung",National Oceanographic and Atmospheric Administration (NOAA),USA
"PENNER, Joyce E.",University of Michigan,USA
"PETERSON, Thomas",National Oceanographic and Atmospheric Administration (NOAA),USA
"PETOUKHOV, Vladimir",Potsdam Institute for Climate Impact Research,Germany
"PEYLIN, Philippe",Institut Pierre Simon Laplace (IPSL),France
"PFISTER, Christian",University of Bern,Switzerland
"PHILLIPS, Thomas",Lawrence Livermore National Laboratory,USA
"PIERCE, David",University of California San Diego,USA
"PIPER, Stephen",University of California San Diego,USA
"PITMAN, Andy",Macquarie University,Australia
"PLANTON, Serge",Météo-France,France
"PLATTNER, Gian-Kasper",University of Bern,Switzerland
"PLUMMER, David",Environment Canada,Canada
"POLLACK, Henry",University of Michigan,USA
"PONATER, Michael",Deutsches Zentrum fur Luft und Raumfahrt,Germany
"POWER, Scott B.",Bureau of Meteorology,Australia
"PRATHER, Michael",University of California Irvine,USA
"PRINN, Ronald",Massachusetts Institute of Technology,USA
"PROSHUTINSKY, Andrey",Woods Hole Oceanographic Institution,USA
"PROWSE, Terry D.",Environment Canada,Canada
"QIN, Dahe",China Meteorological Administration,China
"QIU, Bo",University of Hawaii,USA
"QUAAS, Johannes",Max-Planck Institute for Meteorology,Germany
"QUADFASEL, Detlef",Institut fur Meereskunde Zentrum fur Meeres und Klimaforschung,Germany
"RAGA, Graciela",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"RAHIMZADEH, Fatemeh",Iranian Meteorological Organization,Iran
"RAHMSTORF, Stefan",Potsdam Institute for Climate Impact Research,Germany
"RAISANEN, Jouni",University of Helsinki,Finland
"RAMACHANDRAN, Srikanthan",Physical Research Laboratory,India
"RAMANATHAN, Veerabhadran",University of California San Diego,USA
"RAMANKUTTY, Navin",University of Wisconsin,USA
"RAMASWAMY, Venkatachalam",National Oceanographic and Atmospheric Administration (NOAA),USA
"RAMESH, Rengaswamy",Physical Research Laboratory,India
"RANDALL, David A.",Colorado State University,USA
"RAPER, Sarah C.B.",Manchester Metropolitan University,United Kingdom
"RAUP, Bruce H.",National Snow and Ice Data Center,USA
"RAUPACH, Michael",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"RAYMOND, Charles",University of Washington,USA
"RAYNAUD, Dominique",Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE),France
"RAYNER, Peter J.",Institut Pierre Simon Laplace (IPSL),France
"REHDER, Gregor",Leibniz Institute for MarineSciences,Germany
"REID, George",National Oceanographic and Atmospheric Administration (NOAA),USA
"REN, Jiawen",Chinese Academy of Sciences,China
"RENSSEN, Hans","Vrije Universiteit,Amsterdam",The Netherlands
