Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Chapter 4,Sustainable Development and Equity,Coordinating Lead Author,Marc Fleurbaey,Princeton University,France,United States
Chapter 4,Sustainable Development and Equity,Coordinating Lead Author,Sivan Kartha,Stockholm Environment Institute,United States,United States
,,,,,,
Chapter 4,Sustainable Development and Equity,Lead Author,Simon Bolwig,"Technical University of Denmark, Risø National Laboratory for Sustainable Energy",Denmark,Denmark
Chapter 4,Sustainable Development and Equity,Lead Author,Ying Chen,Chinese Academy of Social Sciences (CASS),China,China
Chapter 4,Sustainable Development and Equity,Lead Author,Esteve Corbera,Universitat Autonoma de Barcelona,Spain,Spain
Chapter 4,Sustainable Development and Equity,Lead Author,Franck Lecocq,CIRED,France,France
Chapter 4,Sustainable Development and Equity,Lead Author,Chee Yoke Ling,Third World Network,Malaysia,Malaysia
Chapter 4,Sustainable Development and Equity,Lead Author,Wolfgang Lutz,IIASA,Austria,Austria
Chapter 4,Sustainable Development and Equity,Lead Author,Maria Silvia Muylaert de Araujo,Federal University of Rio de Janeiro,Brazil,Brazil
Chapter 4,Sustainable Development and Equity,Lead Author,Richard B. Norgaard,"University of California, Berkeley",United States,United States
Chapter 4,Sustainable Development and Equity,Lead Author,Chukwumerije Okereke,University of Reading,Nigeria,United Kingdom
Chapter 4,Sustainable Development and Equity,Lead Author,Ambuj Sagar,Indian Institute of Technology Delhi,United States,India
,,,,,,
Chapter 4,Sustainable Development and Equity,Review Editor,Luiz Pinguelli Rosa,Federal University of Rio de Janeiro,Brazil,Brazil
Chapter 4,Sustainable Development and Equity,Review Editor,Matthias Ruth,Northeastern University,Germany,United States
Chapter 4,Sustainable Development and Equity,Review Editor,Jayant Sathaye,Lawrence Berkeley National Laboratory,United States,United States
,,,,,,
Chapter 4,Sustainable Development and Equity,Contributing Author,Paul Baer,,United States,
Chapter 4,Sustainable Development and Equity,Contributing Author,Donald A. Brown,,United States,
Chapter 4,Sustainable Development and Equity,Contributing Author,Josefa Francisco,,Philippines,
Chapter 4,Sustainable Development and Equity,Contributing Author,Michael Zwicky Hauschild,,Denmark,
Chapter 4,Sustainable Development and Equity,Contributing Author,Michael Jakob,,Germany,
Chapter 4,Sustainable Development and Equity,Contributing Author,Heike Schroeder,,Germany,
Chapter 4,Sustainable Development and Equity,Contributing Author,John Thøgersen,,Denmark,
Chapter 4,Sustainable Development and Equity,Contributing Author,Kevin Urama,,Nigeria,
