Chapter,Role,Name (Country)
Bioenergy,Coordinating Lead Author,Helena Chum (USA/Brazil)
Bioenergy,Coordinating Lead Author,Andre Faaij (The Netherlands)
Bioenergy,Coordinating Lead Author,José Moreira (Brazil)
,,
Bioenergy,Lead Author,Göran Berndes (Sweden)
Bioenergy,Lead Author,Parveen Dhamija (India)
Bioenergy,Lead Author,Hongmin Dong (China)
Bioenergy,Lead Author,Benoît Gabrielle (France)
Bioenergy,Lead Author,Alison Goss Eng (USA)
Bioenergy,Lead Author,Wolfgang Lucht (Germany)
Bioenergy,Lead Author,Maxwell Mapako (South Africa/Zimbabwe)
Bioenergy,Lead Author,Omar Masera Cerutti (Mexico)
Bioenergy,Lead Author,Terry McIntyre (Canada)
Bioenergy,Lead Author,Tomoaki Minowa (Japan)
Bioenergy,Lead Author,Kim Pingoud (Finland)
,,
Bioenergy,Contributing Author,Richard Bain (USA)
Bioenergy,Contributing Author,Ranyee Chiang (USA)
Bioenergy,Contributing Author,"David Dawe (Thailand, USA)"
Bioenergy,Contributing Author,Garvin Heath (USA)
Bioenergy,Contributing Author,Martin Junginger (The Netherlands)
Bioenergy,Contributing Author,Martin Patel (The Netherlands)
Bioenergy,Contributing Author,Joyce Yang (USA)
Bioenergy,Contributing Author,Ethan Warner (USA)
,,
Bioenergy,Review Editor,David Paré (Canada)
Bioenergy,Review Editor,Suzana Kahn Ribeiro (Brazil)
