#,Chapter,Role,Name (Country)
2SM,Observations: Atmosphere and Surface Supplementary Material,Coordinating Lead Author,Dennis L. Hartmann (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Coordinating Lead Author,Albert M.G. Klein Tank (Netherlands)
2SM,Observations: Atmosphere and Surface Supplementary Material,Coordinating Lead Author,Matilde Rusticucci (Argentina)
,,,
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Lisa V. Alexander (Australia)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Stefan Brönnimann (Switzerland)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Yassine Abdul-Rahman Charabi (Oman)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Frank J. Dentener (EU/Netherlands)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Edward J. Dlugokencky (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,David R. Easterling (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Alexey Kaplan (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Brian J. Soden (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Peter W. Thorne (USA/Norway/UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Martin Wild (Switzerland)
2SM,Observations: Atmosphere and Surface Supplementary Material,Lead Author,Panmao Zhai (China)
,,,
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Robert Adler (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Richard Allan (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Robert Allan (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Donald Blake (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Owen Cooper (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Aiguo Dai (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Robert Davis (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Sean Davis (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Markus Donat (Australia)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Vitali Fioletov (Canada)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Erich Fischer (Switzerland)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Leopold Haimberger (Austria)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Ben Ho (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,John Kennedy (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Elizabeth Kent (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Stefan Kinne (Germany)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,James Kossin (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Norman Loeb (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Carl Mears (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Christopher Merchant (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Steve Montzka (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Colin Morice (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Cathrine Lund Myhre (Norway)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Joel Norris (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,David Parker (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Bill Randel (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Andreas Richter (Germany)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Matthew Rigby (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Ben Santer (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Dian Seidel (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Tom Smith (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,David Stephenson (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Ryan Teuling (Netherlands)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Junhong Wang (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Xiaolan Wang (Canada)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Ray Weiss (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Kate Willett (UK)
2SM,Observations: Atmosphere and Surface Supplementary Material,Contributing Author,Simon Wood (UK)
,,,
2SM,Observations: Atmosphere and Surface Supplementary Material,Review Editor,Jim Hurrell (USA)
2SM,Observations: Atmosphere and Surface Supplementary Material,Review Editor,Jose Marengo (Brazil)
2SM,Observations: Atmosphere and Surface Supplementary Material,Review Editor,Fredolin Tangang (Malaysia)
2SM,Observations: Atmosphere and Surface Supplementary Material,Review Editor,Pedro Viterbo (Portugal)
