Chapter,Role,Name (Country)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Coordinating Lead Author,Jean-Charles Hourcade (France)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Coordinating Lead Author,Priyadarshi R. Shukla (India)
,,
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Luis A. Cifuentes (Chile)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,D.L. Davis (USA)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,James Edmonds (N/A)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Brian S. Fisher (Australia)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,E. Fortin (France)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Alexander Golub (Russian Federation)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Olav Hohmeyer (Germany)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Alan J. Krupnick (USA)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Snorre Kverndokk (Norway)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,R. Loulou (Canada)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Richard G. Richels (USA)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Hector Sejenovich (Argentina)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Lead Author,Kenji Yamaji (Japan)
,,
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Contributing Author,C. Bohringer (Germany)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Contributing Author,Knut Einar (N/A)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Contributing Author,Alberto Pasco-Font (Peru)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Contributing Author,Ramon Pichs-Madruga (Cuba)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Contributing Author,John M. Reilly (USA)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Contributing Author,Tianzhu Zhang (China)
,,
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Review Editor,L. Lorentsen (Norway)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Review Editor,Oyvind Christophersen (Norway)
"Global, Regional and National Costs and Ancillary Benefits of Mitigation",Review Editor,Mordechai Shechter (Israel)
