Chapter,Role,Name (Country)
Coastal Zones and Marine Ecosystems,Coordinating Lead Author,Roger McLean (Australia)
Coastal Zones and Marine Ecosystems,Coordinating Lead Author,Alla Tsyban (Russian Federation)
,,
Coastal Zones and Marine Ecosystems,Lead Author,Richard J. Beamish (Canada)
Coastal Zones and Marine Ecosystems,Lead Author,Virginia Burkett (USA)
Coastal Zones and Marine Ecosystems,Lead Author,Jorge O. Codignotto (Argentina)
Coastal Zones and Marine Ecosystems,Lead Author,Donald L. Forbes (Canada)
Coastal Zones and Marine Ecosystems,Lead Author,Venugopalan Ittekkot (Germany)
Coastal Zones and Marine Ecosystems,Lead Author,Nobuo Mimura (Japan)
,,
,,
Coastal Zones and Marine Ecosystems,Review Editor,Luitzen Bijlsma (The Netherlands)
Coastal Zones and Marine Ecosystems,Review Editor,I. Sanchez-Arevalo (N/A)
