#,Chapter,Role,Name (Country)
9,Evaluation of Climate Models,Coordinating Lead Author,Gregory Flato (Canada)
9,Evaluation of Climate Models,Coordinating Lead Author,Jochem Marotzke (Germany)
,,,
9,Evaluation of Climate Models,Lead Author,Babatunde Abiodun (South Africa)
9,Evaluation of Climate Models,Lead Author,Pascale Braconnot (France)
9,Evaluation of Climate Models,Lead Author,Sin Chan Chou (Brazil)
9,Evaluation of Climate Models,Lead Author,William Collins (USA)
9,Evaluation of Climate Models,Lead Author,Peter Cox (UK)
9,Evaluation of Climate Models,Lead Author,Fatima Driouech (Morocco)
9,Evaluation of Climate Models,Lead Author,Seita Emori (Japan)
9,Evaluation of Climate Models,Lead Author,Veronika Eyring (Germany)
9,Evaluation of Climate Models,Lead Author,Chris Forest (USA)
9,Evaluation of Climate Models,Lead Author,Peter Gleckler (USA)
9,Evaluation of Climate Models,Lead Author,Eric Guilyardi (France)
9,Evaluation of Climate Models,Lead Author,Christian Jakob (Australia)
9,Evaluation of Climate Models,Lead Author,Vladimir Kattsov (Russian Federation)
9,Evaluation of Climate Models,Lead Author,Chris Reason (South Africa)
9,Evaluation of Climate Models,Lead Author,Markku Rummukainen (Sweden)
,,,
9,Evaluation of Climate Models,Contributing Author,Krishna AchutaRao (India)
9,Evaluation of Climate Models,Contributing Author,Alessandro Anav (UK)
9,Evaluation of Climate Models,Contributing Author,Timothy Andrews (UK)
9,Evaluation of Climate Models,Contributing Author,Johanna Baehr (Germany)
9,Evaluation of Climate Models,Contributing Author,Nathaniel L. Bindoff (Australia)
9,Evaluation of Climate Models,Contributing Author,Alejandro Bodas-Salcedo (UK)
9,Evaluation of Climate Models,Contributing Author,Jennifer Catto (Australia)
9,Evaluation of Climate Models,Contributing Author,Don Chambers (USA)
9,Evaluation of Climate Models,Contributing Author,Ping Chang (USA)
9,Evaluation of Climate Models,Contributing Author,Aiguo Dai (USA)
9,Evaluation of Climate Models,Contributing Author,Clara Deser (USA)
9,Evaluation of Climate Models,Contributing Author,Francisco Doblas-Reyes (Spain)
9,Evaluation of Climate Models,Contributing Author,Paul J. Durack (USA/Australia)
9,Evaluation of Climate Models,Contributing Author,Michael Eby (Canada)
9,Evaluation of Climate Models,Contributing Author,Ramon de Elia (Canada)
9,Evaluation of Climate Models,Contributing Author,Thierry Fichefet (Belgium)
9,Evaluation of Climate Models,Contributing Author,Piers Forster (UK)
9,Evaluation of Climate Models,Contributing Author,David Frame (UK/New Zealand)
9,Evaluation of Climate Models,Contributing Author,John Fyfe (Canada)
9,Evaluation of Climate Models,Contributing Author,Emiola Gbobaniyi (Sweden/Nigeria)
9,Evaluation of Climate Models,Contributing Author,Nathan Gillett (Canada)
9,Evaluation of Climate Models,Contributing Author,Jesus Fidel González-Rouco (Spain)
9,Evaluation of Climate Models,Contributing Author,Clare Goodess (UK)
9,Evaluation of Climate Models,Contributing Author,Stephen Griffies (USA)
9,Evaluation of Climate Models,Contributing Author,Alex Hall (USA)
9,Evaluation of Climate Models,Contributing Author,Sandy Harrison (Australia)
9,Evaluation of Climate Models,Contributing Author,Andeas Hense (Germany)
9,Evaluation of Climate Models,Contributing Author,Elizabeth Hunke (USA)
9,Evaluation of Climate Models,Contributing Author,Tatiana Ilyina (Germany)
9,Evaluation of Climate Models,Contributing Author,Detelina Ivanova (USA)
9,Evaluation of Climate Models,Contributing Author,Gregory Johnson (USA)
9,Evaluation of Climate Models,Contributing Author,Masa Kageyama (France)
9,Evaluation of Climate Models,Contributing Author,Viatcheslav Kharin (Canada)
9,Evaluation of Climate Models,Contributing Author,Stephen A. Klein (USA)
9,Evaluation of Climate Models,Contributing Author,Jeff Knight (UK)
9,Evaluation of Climate Models,Contributing Author,Reto Knutti (Switzerland)
9,Evaluation of Climate Models,Contributing Author,Felix Landerer (USA)
9,Evaluation of Climate Models,Contributing Author,Tong Lee (USA)
9,Evaluation of Climate Models,Contributing Author,Hongmei Li (Germany/China)
9,Evaluation of Climate Models,Contributing Author,Natalie Mahowald (USA)
9,Evaluation of Climate Models,Contributing Author,Carl Mears (USA)
9,Evaluation of Climate Models,Contributing Author,Gerald Meehl (USA)
9,Evaluation of Climate Models,Contributing Author,Colin Morice (UK)
9,Evaluation of Climate Models,Contributing Author,Rym Msadek (USA)
9,Evaluation of Climate Models,Contributing Author,Gunnar Myhre (Norway)
9,Evaluation of Climate Models,Contributing Author,J. David Neelin (USA)
9,Evaluation of Climate Models,Contributing Author,Jeff Painter (USA)
9,Evaluation of Climate Models,Contributing Author,Tatiana Pavlova (Russian Federation)
9,Evaluation of Climate Models,Contributing Author,Judith Perlwitz (USA)
9,Evaluation of Climate Models,Contributing Author,Jean-Yves Peterschmitt (France)
9,Evaluation of Climate Models,Contributing Author,Jouni Räisänen (Finland)
9,Evaluation of Climate Models,Contributing Author,Florian Rauser (Germany)
9,Evaluation of Climate Models,Contributing Author,Jeffrey Reid (USA)
9,Evaluation of Climate Models,Contributing Author,Mark Rodwell (UK)
9,Evaluation of Climate Models,Contributing Author,Benjamin Santer (USA)
9,Evaluation of Climate Models,Contributing Author,Adam A. Scaife (UK)
9,Evaluation of Climate Models,Contributing Author,Jörg Schulz (Germany)
9,Evaluation of Climate Models,Contributing Author,John Scinocca (Canada)
9,Evaluation of Climate Models,Contributing Author,David Sexton (UK)
9,Evaluation of Climate Models,Contributing Author,Drew Shindell (USA)
9,Evaluation of Climate Models,Contributing Author,Hideo Shiogama (Japan)
9,Evaluation of Climate Models,Contributing Author,Jana Sillmann (Canada)
9,Evaluation of Climate Models,Contributing Author,Adrian Simmons (UK)
9,Evaluation of Climate Models,Contributing Author,Kenneth Sperber (USA)
9,Evaluation of Climate Models,Contributing Author,David Stephenson (UK)
9,Evaluation of Climate Models,Contributing Author,Bjorn Stevens (Germany)
9,Evaluation of Climate Models,Contributing Author,Peter Stott (UK)
