#,Chapter,Role,Name (Country)
26,North America,Coordinating Lead Author,Patricia Romero Lankao (Mexico)
26,North America,Coordinating Lead Author,Joel B. Smith (USA)
,,,
26,North America,Lead Author,Debra J. Davidson (Canada)
26,North America,Lead Author,Noah S. Diffenbaugh (USA)
26,North America,Lead Author,Patrick L. Kinney (USA)
26,North America,Lead Author,Paul Kirshen (USA)
26,North America,Lead Author,Paul Kovacs (Canada)
26,North America,Lead Author,Lourdes Villers Ruiz (Mexico)
,,,
26,North America,Contributing Author,William Anderegg (USA)
26,North America,Contributing Author,Jessie Carr (USA)
26,North America,Contributing Author,Anthony Cheng (USA)
26,North America,Contributing Author,Thea Dickinson (Canada)
26,North America,Contributing Author,Ellen Douglas (USA)
26,North America,Contributing Author,Hallie Eakin (USA)
26,North America,Contributing Author,Daniel M. Gnatz (USA)
26,North America,Contributing Author,Mary Hayden (USA)
26,North America,Contributing Author,Maria Eugenia Ibarraran Viniegra (Mexico)
26,North America,Contributing Author,Blanca E. Jiménez Cisneros (Mexico)
26,North America,Contributing Author,Rob de Loë (Canada)
26,North America,Contributing Author,Michael D. Meyer (USA)
26,North America,Contributing Author,Catherine Ngo (USA)
26,North America,Contributing Author,Amrutasri Nori-Sarma (India)
26,North America,Contributing Author,Greg Oulahen (Canada)
26,North America,Contributing Author,Diana Pape (USA)
26,North America,Contributing Author,Ana Peña del Valle (Mexico)
26,North America,Contributing Author,Roger Pulwarty (USA)
26,North America,Contributing Author,Ashlinn Quinn (USA)
26,North America,Contributing Author,Fabiola S. Sosa-Rodriguez (Mexico)
26,North America,Contributing Author,Daniel Runfola (USA)
26,North America,Contributing Author,Landy Sánchez Peña (Mexico)
26,North America,Contributing Author,Bradley H. Udall (USA)
26,North America,Contributing Author,Fiona Warren (Canada)
26,North America,Contributing Author,Kate Weinberger (USA)
26,North America,Contributing Author,Tom Wilbanks (USA)
,,,
26,North America,Review Editor,Ana Rosa Moreno (Mexico)
26,North America,Review Editor,Linda Mortsch (Canada)
,,,
26,North America,Volunteer Chapter Scientist,William Anderegg (USA)
