Chapter,Role,Name,Country
North America,Coordinating Lead Author,Christopher B. Field,USA
North America,Coordinating Lead Author,Linda Mortsch,Canada
,,,
North America,Lead Author,Michael Brklacich,Canada
North America,Lead Author,Donald L. Forbes,Canada
North America,Lead Author,Paul Kovacs,Canada
North America,Lead Author,Jonathan Patz,USA
North America,Lead Author,Steve Running,USA
North America,Lead Author,Michael J. Scott,USA
,,,
North America,Contributing Author,Jean Andrey,Canada
North America,Contributing Author,Daniel R. Cayan,USA
North America,Contributing Author,Mike Demuth,Canada
North America,Contributing Author,Alan Hamlet,USA
North America,Contributing Author,Gregory Jones,USA
North America,Contributing Author,Evan Mills,USA
North America,Contributing Author,Scott Mills,USA
North America,Contributing Author,Charles Kenneth Minns,Canada
North America,Contributing Author,David Sailor,USA
North America,Contributing Author,Mark Saunders,United Kingdom
North America,Contributing Author,Daniel Scott,Canada
North America,Contributing Author,William Solecki,USA
,,,
North America,Review Editor,Michael C. MacCracken,USA
North America,Review Editor,Gordon McBean,Canada
