Chapter,Role,Name (Country)
Human Health,Coordinating Lead Author,Anthony J. McMichael (United Kingdom)
Human Health,Coordinating Lead Author,Andrew Githeko (Kenya)
,,
Human Health,Lead Author,Rais Akhtar (India)
Human Health,Lead Author,Rodolfo Carcavallo (Argentina)
Human Health,Lead Author,Duane J. Gubler (USA)
Human Health,Lead Author,Andrew Haines (United Kingdom)
Human Health,Lead Author,R.S. Kovats (UK)
Human Health,Lead Author,Pim Martens (The Netherlands)
Human Health,Lead Author,Jonathan Patz (USA)
Human Health,Lead Author,Akihiko Sasaki (Japan)
,,
Human Health,Contributing Author,Kristie L. Ebi (N/A)
Human Health,Contributing Author,D. Focks (N/A)
Human Health,Contributing Author,L. Kalkstein (N/A)
Human Health,Contributing Author,Elisabet Lindgren (N/A)
Human Health,Contributing Author,S. Lindsay (UK)
Human Health,Contributing Author,R. Sturrock (N/A)
,,
Human Health,Review Editor,Ulisses Confalonieri (Brazil)
Human Health,Review Editor,Alistair Woodward (New Zealand)
