#,Chapter,Role,Name (Country)
6,Carbon and Other Biogeochemical Cycles,Coordinating Lead Author,Philippe Ciais (France)
6,Carbon and Other Biogeochemical Cycles,Coordinating Lead Author,Christopher Sabine (USA)
,,,
6,Carbon and Other Biogeochemical Cycles,Lead Author,Govindasamy Bala (India)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Laurent Bopp (France)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Victor Brovkin (Germany)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Josep Canadell (Australia)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Abha Chhabra (India)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Ruth DeFries (USA)
6,Carbon and Other Biogeochemical Cycles,Lead Author,James Galloway (USA)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Martin Heimann (Germany)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Christopher Jones (UK)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Corinne Le Quéré (UK)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Ranga B. Myneni (USA)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Shilong Piao (China)
6,Carbon and Other Biogeochemical Cycles,Lead Author,Peter Thornton (USA)
,,,
6,Carbon and Other Biogeochemical Cycles,Review Editor,Christoph Heinze (Norway)
6,Carbon and Other Biogeochemical Cycles,Review Editor,Pieter Tans (USA)
6,Carbon and Other Biogeochemical Cycles,Review Editor,Timo Vesala (Finland)
,,,
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Anders Ahlström (Sweden)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Alessandro Anav (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Oliver Andrews (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,David Archer (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Vivek Arora (Canada)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Gordon Bonan (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Alberto Vieira Borges (Belgium)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Philippe Bousquet (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Lex Bouwman (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Lori M. Bruhwiler (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Ken Caldeira (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Long Cao (China)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Jérôme Chappellaz (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Frédéric Chevallier (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Cory Cleveland (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Peter Cox (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Frank J. Dentener (EU)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Scott Doney (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Jan Willem Erisman (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Eugenie S. Euskirchen (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Pierre Friedlingstein (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Nicolas Gruber (Switzerland)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Kevin Gurney (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Elisabeth A. Holland (Fiji)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Brett Hopwood (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Richard A. Houghton (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Joanna I. House (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Sander Houweling (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Stephen Hunter (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,George Hurtt (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Andrew D. Jacobson (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Atul Jain (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Fortunat Joos (Switzerland)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Johann Jungclaus (Germany)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Jed O. Kaplan (Switzerland)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Etsushi Kato (Japan)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Ralph Keeling (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Samar Khatiwala (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Stefanie Kirschke (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Kees Klein Goldewijk (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Silvia Kloster (Germany)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Charles Koven (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Carolien Kroeze (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Jean-François Lamarque (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Keith Lassey (New Zealand)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Rachel M. Law (Australia)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Andrew Lenton (Australia)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Mark R. Lomas (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Yiqi Luo (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Takashi Maki (Japan)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Gregg Marland (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Damon Matthews (Canada)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Emilio Mayorga (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Joe R. Melton (Canada)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Nicolas Metzl (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Guy Munhoven (Belgium)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Yosuke Niwa (Japan)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Richard J. Norby (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Fiona O’Connor (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,James Orr (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Geun-Ha Park (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Prabir Patra (Japan)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Anna Peregon (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Wouter Peters (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Philippe Peylin (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Stephen Piper (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Julia Pongratz (Germany)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Ben Poulter (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Peter A. Raymond (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Peter Rayner (Australia)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Andy Ridgwell (UK)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Bruno Ringeval (Netherlands)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Christian Rödenbeck (Germany)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Marielle Saunois (France)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Andreas Schmittner (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Edward Schuur (USA)
6,Carbon and Other Biogeochemical Cycles,Contributing Author,Stephen Sitch (UK)
