Chapter,Role,Name (Country)
Energy Primer,Coordinating Lead Author,Nebojsa Nakicenovic (Austria)
,,
Energy Primer,Lead Author,Amulf Grubler (Austria)
Energy Primer,Lead Author,Hisashi Ishitani (Japan)
Energy Primer,Lead Author,Thomas Johansson (Sweden)
Energy Primer,Lead Author,Gregg Marland (USA)
Energy Primer,Lead Author,Jose Roberto Moreira (Brazil)
Energy Primer,Lead Author,Hans-Holger Rogner (Canada)
,,
,,
