Chapter,Role,Name (Country)
Costing Methodologies,Co-ordinating Lead Author,Anil Markandya (UK)
Costing Methodologies,Co-ordinating Lead Author,Kirsten Halsnaes (Denmark)
,,
Costing Methodologies,Lead Author,A. Lanza (France)
Costing Methodologies,Lead Author,Yuzuru Matsuoka (Japan)
Costing Methodologies,Lead Author,Shakespeare Maya (N/A)
Costing Methodologies,Lead Author,Jiahua Pan (China)
Costing Methodologies,Lead Author,J. Shogren (USA)
Costing Methodologies,Lead Author,R. Seroa da Motta (Brazil)
Costing Methodologies,Lead Author,Tianzhu Zhang (China)
,,
Costing Methodologies,Contributing Author,Tim Taylor (UK)
,,
Costing Methodologies,Review Editor,Eberhard Jochem (Germany)
