#,Chapter,Role,Name (Country)
30,The Ocean,Coordinating Lead Author,Rongshuo Cai (China)
30,The Ocean,Coordinating Lead Author,Ove Hoegh-Guldberg (Australia)
,,,
30,The Ocean,Lead Author,Peter G. Brewer (United States)
30,The Ocean,Lead Author,Victoria J. Fabry (United States)
30,The Ocean,Lead Author,Karim Hilmi (Morocco)
30,The Ocean,Lead Author,Sukgeun Jung (Republic of Korea)
30,The Ocean,Lead Author,Elvira Poloczanska (Australia / United Kingdom)
30,The Ocean,Lead Author,Svein Sundby (Norway)
,,,
30,The Ocean,Review Editor,Omar Ly (Senegal)
30,The Ocean,Review Editor,Carol Turley (United Kingdom)
,,,
30,The Ocean,Volunteer Chapter Scientist,Jo Davy (New Zealand)
30,The Ocean,Volunteer Chapter Scientist,Sarah Lee (United States)
,,,
30,The Ocean,Contributing Author,Johann Bell (New Caledonia)
30,The Ocean,Contributing Author,Christopher J. Brown (Australia)
30,The Ocean,Contributing Author,Michael T. Burrows (United Kingdom)
30,The Ocean,Contributing Author,Long Cao (China)
30,The Ocean,Contributing Author,Simon Donner (Canada)
30,The Ocean,Contributing Author,C. Mark Eakin (United States)
30,The Ocean,Contributing Author,Arne Eide (Norway)
30,The Ocean,Contributing Author,Benjamin Halpern (United States / United Kingdom)
30,The Ocean,Contributing Author,Charles R. McClain (United States)
30,The Ocean,Contributing Author,Stewart M. McKinnell (PICES / Canada)
30,The Ocean,Contributing Author,Mary I. O’Connor (Canada)
30,The Ocean,Contributing Author,Camille Parmesan (United States / United Kingdom)
30,The Ocean,Contributing Author,R. Ian Perry (Canada)
30,The Ocean,Contributing Author,Anthony J. Richardson (Australia)
30,The Ocean,Contributing Author,David S. Schoeman (Australia)
30,The Ocean,Contributing Author,Sergio Signorini (United States)
30,The Ocean,Contributing Author,William Skirving (United States / Australia)
30,The Ocean,Contributing Author,Dáithí Stone (Canada / South Africa / United States)
30,The Ocean,Contributing Author,William Sydeman (United States)
30,The Ocean,Contributing Author,Ruben van Hooidonk (United States)
30,The Ocean,Contributing Author,Rui Zhang (China)
