Chapter,Role,Name (Country)
Latin America,Coordinating Lead Author,Luis Jose Mata (Venezuela)
Latin America,Coordinating Lead Author,Maximiliano Campos (Costa Rica)
,,
Latin America,Lead Author,Eduardo Basso (Chile)
Latin America,Lead Author,Rosa Hilda Compagnucci (Argentina)
Latin America,Lead Author,Philip M. Fearnside (Brazil)
Latin America,Lead Author,Graciela Odilia Magrin (Argentina)
Latin America,Lead Author,Jose Marengo (Brazil)
Latin America,Lead Author,Ana Rosa Moreno (Mexico)
Latin America,Lead Author,Avelino G. Suarez (Cuba)
Latin America,Lead Author,Silvina Solman (Argentina)
Latin America,Lead Author,Alicia Villamizar (Venezuela)
Latin America,Lead Author,L. Villers (N/A)
,,
Latin America,Contributing Author,F. Argenal (N/A)
Latin America,Contributing Author,C. Artigas (N/A)
Latin America,Contributing Author,M. Cabido (N/A)
Latin America,Contributing Author,Jorge O. Codignotto (Argentina)
Latin America,Contributing Author,Ulisses Confalonieri (Brazil)
Latin America,Contributing Author,Victor Magana (Mexico)
Latin America,Contributing Author,B. Morales-Arnao (N/A)
Latin America,Contributing Author,O. Oropeza (N/A)
Latin America,Contributing Author,J.D. Pabon (N/A)
Latin America,Contributing Author,J. Paz (N/A)
Latin America,Contributing Author,O. Paz (N/A)
Latin America,Contributing Author,F. Picado (N/A)
Latin America,Contributing Author,German Poveda (N/A)
Latin America,Contributing Author,Juan Tarazona (N/A)
Latin America,Contributing Author,Walter Vargas (Argentina)
,,
Latin America,Review Editor,Carlos A. Nobre (Brazil)
