Name,Role,Institution
Christopher B. Field,Co-Chair Working Group II,Carnegie Institution for Science
Vicente Barros,Co-Chair Working Group II,CIMA / Universidad de Buenos Aires
Thomas F. Stocker,Co-Chair Working Group I,University of Bern
Qin Dahe,Co-Chair Working Group I,China Meteorological Administration
,,
David Jon Dokken,,
Kristie L. Ebi,,
Michael D. Mastrandrea,,
Katharine J. Mach,,
Gian-Kasper Plattner,,
Simon K. Allen,,
Melinda Tignor,,
Pauline M. Midgley,,
