Name,Institution,Country
"JACCARD, Marc",Simon Fraser University,Canada
"JÄGER-WALDAU, Arnulf A.",European Commission Joint Research Centre (JRC),Italy / Germany
"JAKOB, Michael",Potsdam Institute for Climate Impact Research (PIK),Germany
"JAMES, Ted",National Renewable Energy Laboratory (NREL),United States of America
"JANNUZZI, Gilberto de Martino",Universidade Estadual de Campinas (UNICAMP),Brazil
"JENSEN, Peter Hjuler",Risø National Laboratory for Sustainable Energy,Denmark
"JONKMAN, Jason",National Renewable Energy Laboratory (NREL),United States of America
"JUNGINGER, Martin",Utrecht University,The Netherlands
"KADNER, Susanne",IPCC WGIII TSU,Germany
"KAHN RIBEIRO, Suzana",Universidade Federal do Rio de Janeiro (UFRJ),Brazil
,,
"KALKUHL, Matthias",Potsdam Institute for Climate Impact Research (PIK),Germany
"KAMIMOTO, Masayuki",National Institute of Advanced Industrial Science and Technology (AIST),Japan
"KAMMEN, Daniel",University of California,United States of America
"KAZMERSKI, Lawrence",National Renewable Energy Laboratory (NREL),United States of America
"KEANE, Andrew",University College Dublin,Ireland
"KHENNAS, Smail",United Nations Development Programme (UNDP),Senegal / Algeria
"KILLINGTVEIT, Ånund",Norwegian University of Science and Technology (NTNU),Norway
"KJAER, Christian",European Wind Energy Association (EWEA),Belgium / Denmark
"KONDO, Michio",National Institute of Advanced Industrial Science and Technology (AIST),Japan
"KONSEIBO, Charles D.",Centre Ecologique Albert Schweitzer du Burkina Faso,Burkina Faso
,,
"KREWITT, Wolfram †",Deutsches Zentrum für Luft- und Raumfahrt,Germany
"KREY, Volker",International Institute for Applied Systems Analysis (IIASA),Austria / Germany
"KRUG, Thelma",Instituto Nacional de Pesquisas Espaciais (INPE),Brazil
"KUMAR, Arun",Indian Institute of Technology Roorkee (IITR),India
"LAMERS, Patrick",Ecofys,Germany
"LANGNISS, Ole",Fichtner GmbH & Co. KG,Germany
"LEE, Arthur",Chevron Corporation,United States of America
"LEE, Kwang Soo",Korea Ocean Research and Development Institute (KORDI),Republic of Korea
"LENZEN, Manfred",University of Sydney,Australia / Germany
"LEWIS, Anthony",University College Cork,Ireland
"LIU, Yongqian",North China Electric Power University,People’s Republic of China
,,
"LIU, Zhiyu",Ministry of Water Resources,People’s Republic of China
"LOGAN, Jeffrey",National Renewable Energy Laboratory (NREL),United States of America
"LOUIS, Frederic",Electricité de France (EDF),France
"LUCAS, Hugo",International Renewable Energy Agency (IRENA),United Arab Emirates / Spain
"LUCHT, Wolfgang",Potsdam Institute for Climate Impact Research (PIK),Germany
"LUCON, Oswaldo",São Paulo State Environment Secretariat,Brazil
"LUDERER, Gunnar",Potsdam Institute for Climate Impact Research (PIK),Germany
"LUND, John W.",Oregon Institute of Technology,United States of America
"MACKNICK, Jordan",National Renewable Energy Laboratory (NREL),United States of America
"MADSEN, Birger",BTM Consult ApS,Denmark
"MANN, Margaret",National Renewable Energy Laboratory (NREL),United States of America
,,
"MAPAKO, Maxwell",Council for Scientifi c and Industrial Research (CSIR),South Africa / Zimbabwe
"MASANET, Eric",Lawrence Berkeley National Laboratory,United States of America
"MASERA CERUTTI, Omar",Universidad Nacional Autónoma de México (UNAM),Mexico
"MATSCHOSS, Patrick",IPCC WGIII TSU,Germany
"MATSUBARA, Koji",Osaka University,Japan
"MAURICE, Lourdes Q.",Federal Aviation Administration,United States of America
"MCINTYRE, Terry C.",Environment Canada,Canada
"MEIER, Anton",Paul Scherrer Institute (PSI),Switzerland
"MELESHKO, Valentin P.",Voeikov Main Geophysical Observatory,Russia
"MERCADO, Pedro E.",Universidad Nacional de San Juan,Argentina
"MILLIGAN, Michael",National Renewable Energy Laboratory (NREL),United States of America
"MILLS, Andrew",Lawrence Berkeley National Laboratory,United States of America
,,
"MINOWA, Tomoaki",National Institute of Advanced Industrial Science and Technology (AIST),Japan
"MIRZA, Monirul",Environment Canada,Canada / Bangladesh
"MITCHELL, Catherine H. C.",University of Exeter,United Kingdom
"MONGILLO, Michael A.",International Energy Agency Geothermal Implementing Agreement,New Zealand
"MOOMAW, William R.",The Fletcher School,United States of America
"MOREIRA, José R.","Brazilian Reference Center on Biomass, Institute of Electrotechnology and Energy, Universidade de Sao Paulo",Brazil
"MORENO, José M.",University of Castilla-La Mancha,Spain
"MORIARTY, Patrick",National Renewable Energy Laboratory (NREL),United States of America
"MUJUMDAR, Arun",National University of Singapore,Singapore
"MURAOKA, Hirofumi",Hirosaki University,Japan
"MUSIAL, Walter",National Renewable Energy Laboratory (NREL),United States of America
,,
"NADAI, Alain",Centre Cired,France
"NAGAI, Yu",International Institute for Applied Systems Analysis (IIASA),Austria / Japan
"NEMET, Gregory",Nelson Institute for Environmental Studies,United States of America
"NEWELL, David",Chevron Geothermal and Power,Indonesia / United States of America
"NIKOLAEV, Vladimir G.",Research & Information Center “ATMOGRAPH”,Russia
"NILSSON, Lars J.",Lund University,Sweden
"NYBOER, John G.",Simon Fraser University,Canada
"O´MALLEY, Mark J.",University College Dublin,Ireland
"OGDEN, Joan",University of California,United States of America
"OGIMOTO, Kazuhiko",Institute of Industrial Science,Japan
"OLHOFF, Anne",Risø National Laboratory for Sustainable Energy,United States of America / Denmark
,,
"OLSEN, Karen Holm",Risø National Laboratory for Sustainable Energy,Denmark
"OOZEKI, Takashi",Tokyo University of Agriculture and Technology,Japan
"OUTHRED, Hugh",University of New South Wales,Australia
"PAHLE, Michael",Hertie School of Governance,Germany
"PAN, Jiahua",Institute of Urban Environment,People’s Republic of China
"PANITCHPAKDI, Supachai",United Nations Conference on Trade and Development (UNCTAD),Switzerland / Thailand
"PARÉ, David",Laurentian Forestry Centre,Canada
"PATEL, Martin",Utrecht University,The Netherlands
"PINGOUD, Kim",VTT Technical Research Centre of Finland,Finland
"POKHAREL, Govind R.",SNV Nepal Country Office,Nepal
"PONTES, Teresa","The National Institute of Engineering, Technology and Innovation",Portugal
,,
"POPP, David",Syracuse University,United States of America
"POWER, Michael",University College Dublin,Ireland
"PRYOR, Sara",Indiana University,United States of America
"RABL, Ari",ARMINES/Ecole de Mines,France
"PICHS-MADRUGA, Ramón",Centro de Investigaciones de la Economía Mundial (CIEM),Cuba
"RADZI, Anis",University of Liechtenstein,Liechtenstein / Australia
"RAGNARSSON, Arni",ISOR Iceland GeoSurvey,Iceland
"RAHIMZADEH, Fatemeh",Atmospheric Science and Meteorological Research Center (ASMERC),Islamic Republic of Iran
"RAHMAN, Atiq",Bangladesh Centre for Advanced Studies,Bangladesh
"RESCH, Gustav",Vienna University of Technology,Austria
"RIAHI, Keywan",International Institute for Applied Systems Analysis (IIASA),Austria
,,
"RICHELS, Richard",Electric Power Research Institute (EPRI),United States of America
