Chapter,Role,Name (Country)
Polar Regions,Coordinating Lead Author,Oleg A. Anisimov (Russian Federation)
Polar Regions,Coordinating Lead Author,B. Blair Fitzharris (New Zealand)
,,
Polar Regions,Lead Author,Jon Ove Hagen (Norway)
Polar Regions,Lead Author,Robert L. Jefferies (Canada)
Polar Regions,Lead Author,Harvey J. Marchant (Australia)
Polar Regions,Lead Author,Frederick E. Nelson (USA)
Polar Regions,Lead Author,Terry D. Prowse (Canada)
Polar Regions,Lead Author,David Vaughan (United Kingdom)
,,
Polar Regions,Contributing Author,Irena Borzenkova (Russian Federation)
Polar Regions,Contributing Author,Donald L. Forbes (Canada)
Polar Regions,Contributing Author,K.M. Hinkel (N/A)
Polar Regions,Contributing Author,K. Kobak (N/A)
Polar Regions,Contributing Author,Harald Loeng (Norway)
Polar Regions,Contributing Author,Terry L. Root (USA)
Polar Regions,Contributing Author,Igor Shiklomanov (Russian Federation)
Polar Regions,Contributing Author,B. Sinclair (N/A)
Polar Regions,Contributing Author,P. Skvarca (N/A)
,,
Polar Regions,Review Editor,Barrie Maxwell (Canada)
Polar Regions,Review Editor,Dahe Qin (China)
