Chapter,Role,Name (Country)
Sector Costs and Ancillary Benefits of Mitigation,Coordinating Lead Author,Terry Barker (United Kingdom)
Sector Costs and Ancillary Benefits of Mitigation,Coordinating Lead Author,L. Srivastava (India)
,,
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,Majid Al-Moneef (Saudi Arabia)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,Lenny S. Bernstein (USA)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,P. Criqui (France)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,D.L. Davis (USA)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,S.J. Lennon (South Africa)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,Junfeng Li (China)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,Julio Torres-Martínez (Cuba)
Sector Costs and Ancillary Benefits of Mitigation,Lead Author,S. Mori (Japan)
,,
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,Lee Ann (N/A)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,D.L. Mauzerall (USA)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,Gina Roos (South Africa)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,W.J. Rhodes (USA)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,R. Sharma (Kenya)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,Sharmila B. Srikanth (N/A)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,Clive R. Turner (South Africa)
Sector Costs and Ancillary Benefits of Mitigation,Contributing Author,Marcelo Villena (United Kingdom)
,,
Sector Costs and Ancillary Benefits of Mitigation,Review Editor,T. Taniguchi (Japan)
