Chapter,Title,Role,Name,Institution,Country
Chapter 9,Evaluation of Climate Models,Coordinating Lead Author,Gregory Flato,Environment Canada,Canada
Chapter 9,Evaluation of Climate Models,Coordinating Lead Author,Jochem Marotzke,Max Planck Institute for Meteorology,Germany
,,,,,
Chapter 9,Evaluation of Climate Models,Lead Author,Babatunde Abiodun,University of Cape Town,South Africa
Chapter 9,Evaluation of Climate Models,Lead Author,Pascale Braconnot,Laboratoire des Sciences du Climat et de l'Environnement,France
Chapter 9,Evaluation of Climate Models,Lead Author,Sin Chan Chou,National Institute for Space Research,Brazil
Chapter 9,Evaluation of Climate Models,Lead Author,William Collins,Lawrence Berkeley National Laboratory,USA
Chapter 9,Evaluation of Climate Models,Lead Author,Peter Cox,University of Exeter,UK
Chapter 9,Evaluation of Climate Models,Lead Author,Fatima Driouech,Direction de la Météorologie Nationale,Morocco
Chapter 9,Evaluation of Climate Models,Lead Author,Seita Emori,National Institute for Environmental Studies,Japan
Chapter 9,Evaluation of Climate Models,Lead Author,Veronika Eyring,DLR German Aerospace Center,Germany
Chapter 9,Evaluation of Climate Models,Lead Author,Chris E. Forest,Pennsylvania State University,USA
Chapter 9,Evaluation of Climate Models,Lead Author,Peter J. Gleckler,Lawrence Livermore National Laboratory,USA
Chapter 9,Evaluation of Climate Models,Lead Author,Eric Guilyardi,Laboratoire d'Océanographie et du Climat,France
Chapter 9,Evaluation of Climate Models,Lead Author,Christian Jakob,Monash University,Australia
Chapter 9,Evaluation of Climate Models,Lead Author,Vladimir Kattsov,Voeikov Main Geophysical Observatory,Russian Federation
Chapter 9,Evaluation of Climate Models,Lead Author,Chris Reason,University of Cape Town,South Africa
Chapter 9,Evaluation of Climate Models,Lead Author,Markku Rummukainen,Swedish Meteorological and Hydrological Institute,Sweden
,,,,,
Chapter 9,Evaluation of Climate Models,Review Editor,Isaac Held,National Oceanic and Atmospheric Administration,USA
Chapter 9,Evaluation of Climate Models,Review Editor,Andy Pitman,University of New South Wales,Australia
Chapter 9,Evaluation of Climate Models,Review Editor,Serge Planton,Météo-France,France
Chapter 9,Evaluation of Climate Models,Review Editor,Zong-Ci Zhao,China Meteorological Administration,China
,,,,,
Chapter 9,Evaluation of Climate Models,Contributing Author,Krishna AchutaRao,,India
Chapter 9,Evaluation of Climate Models,Contributing Author,Alessandro Anav,,UK
Chapter 9,Evaluation of Climate Models,Contributing Author,Tim Andrews,,UK
Chapter 9,Evaluation of Climate Models,Contributing Author,Johanna Baehr,,Germany
Chapter 9,Evaluation of Climate Models,Contributing Author,Nathaniel L. Bindoff,,Australia
Chapter 9,Evaluation of Climate Models,Contributing Author,Alejandro Bodas-Salcedo,,UK
Chapter 9,Evaluation of Climate Models,Contributing Author,Jennifer Catto,,Australia
Chapter 9,Evaluation of Climate Models,Contributing Author,Don Chambers,,USA
Chapter 9,Evaluation of Climate Models,Contributing Author,Ping Chang,,USA
Chapter 9,Evaluation of Climate Models,Contributing Author,Aiguo Dai,,USA
Chapter 9,Evaluation of Climate Models,Contributing Author,Ramón de Elia,,Canada
Chapter 9,Evaluation of Climate Models,Contributing Author,Clara Deser,,USA
Chapter 9,Evaluation of Climate Models,Contributing Author,Francisco Doblas-Reyes,,Spain
Chapter 9,Evaluation of Climate Models,Contributing Author,Paul J. Durack,,USA
Chapter 9,Evaluation of Climate Models,Contributing Author,Michael Eby,,Canada
Chapter 9,Evaluation of Climate Models,Contributing Author,Thierry Fichefet,,Belgium
Chapter 9,Evaluation of Climate Models,Contributing Author,Piers Forster,,UK
Chapter 9,Evaluation of Climate Models,Contributing Author,David Frame,,New Zealand
Chapter 9,Evaluation of Climate Models,Contributing Author,John Fyfe,,Canada
Chapter 9,Evaluation of Climate Models,Contributing Author,Emiola Gbobaniyi,,Sweden
Chapter 9,Evaluation of Climate Models,Contributing Author,Nathan Gillett,,Canada
Chapter 9,Evaluation of Climate Models,Contributing Author,Jesús Fidel González Rouco,,Spain
Chapter 9,Evaluation of Climate Models,Contributing Author,Clare Goodess,,UK
Chapter 9,Evaluation of Climate Models,Contributing Author,Stephen Griffies,,USA
