"Role","Name (Country)"
"Edited by","REID E. BASHER (NEW ZEALAND)"
"Edited by","A. BARRIE PITTOCK (AUSTRALIA)"
,
"Lead Author","B. Bates (Australia)"
"Lead Author","T. Done (Australia) "
"Lead Author","R.M. Gifford (Australia) "
"Lead Author","S.M. Howden (Australia) "
"Lead Author","R. Sutherst (Australia) "
"Lead Author","R. Warrick (New Zealand) "
"Lead Author","P. Whetton (Australia) "
"Lead Author","D. Whitehead (New Zealand) "
"Lead Author","J.E. Williams (Australia) "
"Lead Author","A. Woodward (New Zealand) "
