Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Technical Summary,,Coordinating Lead Author,Ottmar Edenhofer,"Co-Chair IPCC WGIII, Potsdam Institute for Climate Impact Research",Germany,Germany
Technical Summary,,Coordinating Lead Author,Ramon Pichs Madruga,"Co-Chair IPCC WGIII, Centro de Investigacio nes de la Economía Mundial",Cuba,Cuba
Technical Summary,,Coordinating Lead Author,Youba Sokona,"Co-Chair IPCC WGIII, South Centre",Mali,Switzerland
Technical Summary,,Coordinating Lead Author,Jan Minx,IPCC WGIII,Germany,Germany
Technical Summary,,Coordinating Lead Author,Susanne Kadner,IPCC WGIII,Germany,Germany
Technical Summary,,Coordinating Lead Author,Steffen Brunner,IPCC WGIII,Germany,Germany
,,,,,,
Technical Summary,,Lead Author,Shardul Agrawala,OECD,France,France
Technical Summary,,Lead Author,Giovanni Baiocchi,University of Maryland,Italy,United States
Technical Summary,,Lead Author,Igor Alexeyevich Bashmakov,Center for Energy Efficiency (CENEF),Russian Federation,Russian Federation
Technical Summary,,Lead Author,Gabriel Blanco,Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina,Argentina
Technical Summary,,Lead Author,Thomas Bruckner,University of Leipzig,Germany,Germany
Technical Summary,,Lead Author,Mercedes Bustamante,University of Brasília,Brazil,Brazil
Technical Summary,,Lead Author,Leon Clarke,Pacific Northwest National Laboratory,United States,United States
Technical Summary,,Lead Author,Mariana Conte Grand,Universidad del CEMA,Argentina,Argentina
Technical Summary,,Lead Author,Felix Creutzig,MCC,Germany,Germany
Technical Summary,,Lead Author,Xochitl Cruz-Núñez,National Autonomous University of Mexico,Mexico,Mexico
Technical Summary,,Lead Author,Shobhakar Dhakal,Asian Institute of Technology,Nepal,Thailand
Technical Summary,,Lead Author,Navroz K. Dubash,Centre for Policy Research,India,India
Technical Summary,,Lead Author,Patrick Eickemeier,IPCC WGIII,Germany,Germany
Technical Summary,,Lead Author,Ellie Farahani,IPCC WGIII,Canada,Germany
Technical Summary,,Lead Author,Manfred Fischedick,"Wuppertal Institute for Climate, Environment, Energy",Germany,Germany
Technical Summary,,Lead Author,Marc Fleurbaey,Princeton University,France,United States
Technical Summary,,Lead Author,Reyer Gerlagh,Tilburg University ,Netherlands,Netherlands
Technical Summary,,Lead Author,Sujata Gupta,Asian Development Bank,India,Philippines
Technical Summary,,Lead Author,Shreekant Gupta,University of Delhi,India,India
Technical Summary,,Lead Author,Luis Gómez-Echeverri,IIASA,Colombia,Austria
Technical Summary,,Lead Author,Jochen Harnisch,KFW German Development Bank,Germany,Germany
Technical Summary,,Lead Author,Kejun Jiang,Energy Research Institute,China,China
Technical Summary,,Lead Author,Frank Jotzo,Australian National University,Australia,Germany
Technical Summary,,Lead Author,Sivan Kartha,Stockholm Environment Institute,United States,United States
Technical Summary,,Lead Author,Stephan Klasen,University of Göttingen,Germany,Germany
Technical Summary,,Lead Author,Charles Kolstad,Stanford University,United States,United States
Technical Summary,,Lead Author,Volker Krey,International Institute for Applied Systems Analysis (IIASA),Germany,Austria
Technical Summary,,Lead Author,Howard Kunreuther,"Wharton School, University of Pennsylvania",United States,United States
Technical Summary,,Lead Author,Oswaldo Lucon,Sao Paulo State Environment Secretariat,Brazil,Brazil
Technical Summary,,Lead Author,Omar Masera,UNAM,Mexico,Mexico
Technical Summary,,Lead Author,Yacob Mulugetta,University of Surrey,United Kingdom,United Kingdom
Technical Summary,,Lead Author,Richard B. Norgaard,"University of California, Berkeley",United States,United States
Technical Summary,,Lead Author,Anthony Patt,Swiss Federal Institute of Technology (ETH),United States,Switzerland
Technical Summary,,Lead Author,Nijavalli H. Ravindranath,Indian Institute of Science,India,India
Technical Summary,,Lead Author,Keywan Riahi,International Institute for Applied Systems Analysis (IIASA),Austria,Austria
Technical Summary,,Lead Author,Joyashree Roy,Jadavpur University,India,India
Technical Summary,,Lead Author,Ambuj Sagar,Indian Institute of Technology Delhi,United States,India
Technical Summary,,Lead Author,Roberto Schaeffer,Federal University of Rio de Janeiro,Brazil,Brazil
Technical Summary,,Lead Author,Steffen Schloemer,IPCC WGIII,Germany,Germany
Technical Summary,,Lead Author,Karen Seto,Yale University,United States,United States
Technical Summary,,Lead Author,Kristin Seyboth,IPCC WGIII,United States,United States
Technical Summary,,Lead Author,Ralph Sims,Massey University,New Zealand,New Zealand
Technical Summary,,Lead Author,Pete Smith,University of Aberdeen,United Kingdom,United Kingdom
