Chapter,Role,Name,Country
Residential and Commercial Buildings,Coordinating Lead Author,Mark D. Levine,USA
Residential and Commercial Buildings,Coordinating Lead Author,Diana Ürge-Vorsatz,Hungary
,,,
Residential and Commercial Buildings,Lead Author,Kornelis Blok,The Netherlands
Residential and Commercial Buildings,Lead Author,Luis J. Geng,Peru
Residential and Commercial Buildings,Lead Author,Danny Harvey,Canada
Residential and Commercial Buildings,Lead Author,Siwei Lang,China
Residential and Commercial Buildings,Lead Author,Geoffrey J. Levermore,United Kingdom
Residential and Commercial Buildings,Lead Author,Anthony Mongameli Mehlwana,South Africa
Residential and Commercial Buildings,Lead Author,Sevastian Mirasgedis,Greece
Residential and Commercial Buildings,Lead Author,Aleksandra Novikova,Hungary
Residential and Commercial Buildings,Lead Author,Jacques Rilling,France
Residential and Commercial Buildings,Lead Author,Hiroshi Yoshino,Japan
,,,
Residential and Commercial Buildings,Contributing Author,Paolo Bertoldi,Italy
Residential and Commercial Buildings,Contributing Author,Brenda Boardman,United Kingdom
Residential and Commercial Buildings,Contributing Author,Marilyn A. Brown,USA
Residential and Commercial Buildings,Contributing Author,Suzanne Joosen,The Netherlands
Residential and Commercial Buildings,Contributing Author,Philip Haves,USA
Residential and Commercial Buildings,Contributing Author,Jeffrey Harris,USA
Residential and Commercial Buildings,Contributing Author,Mithra Moezzi,USA
,,,
Residential and Commercial Buildings,Review Editor,Eberhard Jochem,Germany
Residential and Commercial Buildings,Review Editor,Huaging Xu,China
