Chapter,Role,Name (Country)
Hydrology and Water Resources,Coordinating Lead Author,Nigel Arnell (United Kingdom)
Hydrology and Water Resources,Coordinating Lead Author,Chunzhen Liu (China)
,,
Hydrology and Water Resources,Lead Author,Rosa Hilda Compagnucci (Argentina)
Hydrology and Water Resources,Lead Author,Luis Veiga da Cunha (Portugal)
Hydrology and Water Resources,Lead Author,Keisuke Hanaki (Japan)
Hydrology and Water Resources,Lead Author,Charles Howe (USA)
Hydrology and Water Resources,Lead Author,Gabriel M. Mailu (Kenya)
Hydrology and Water Resources,Lead Author,Igor Shiklomanov (Russian Federation)
Hydrology and Water Resources,Lead Author,Eugene Z. Stakhiv (USA)
,,
Hydrology and Water Resources,Contributing Author,P. Doll (N/A)
,,
Hydrology and Water Resources,Review Editor,Alfred Becker (Germany)
Hydrology and Water Resources,Review Editor,Jianyun Zhang (China)
