Chapter,Role,Name (Country)
Water Resources Management,Coordinating Lead Author,Zdzislaw Kaczmarek (Poland)
,,
Water Resources Management,Lead Author,Nigel W. Amell (N/A)
Water Resources Management,Lead Author,Eugene Z. Stakhiv (USA)
,,
Water Resources Management,Lead Author,Keisuke Hanaki (Japan)
Water Resources Management,Lead Author,Gabriel M. Mailu (Kenya)
Water Resources Management,Lead Author,L. Somlyody (Hungary)
Water Resources Management,Lead Author,"K. Strzepek, USA"
,,
Water Resources Management,Contributing Author,A.J. Askew (Switzerland)
Water Resources Management,Contributing Author,F. Bultot (Belgium)
Water Resources Management,Contributing Author,J. Kindler (USA)
Water Resources Management,Contributing Author,Zbigniew Kundzewicz (Switzerland)
Water Resources Management,Contributing Author,D.P. Lettenmaier (USA)
Water Resources Management,Contributing Author,H.J. Liebscher (Germany)
Water Resources Management,Contributing Author,H. Lins (USA)
Water Resources Management,Contributing Author,David C. Major (USA)
Water Resources Management,Contributing Author,A. Barrie Pittock (Australia)
Water Resources Management,Contributing Author,D.G. Rutashobya (Tanzania)
Water Resources Management,Contributing Author,H.H.G. Savenije (The Netherlands)
Water Resources Management,Contributing Author,C. Somorowski (Poland)
Water Resources Management,Contributing Author,K. Szesztay (Hungary)
