Country,"Name, Institution"
South Africa,"Dewald Van Niekerk, North West University"
Switzerland,"Pauline Midgley, IPCC WGI Technical Support Unit"
Switzerland,"Alexander Nauels, IPCC WGI Technical Support Unit"
Switzerland,"Melinda Tignor, IPCC WGI Technical Support Unit"
