#,Chapter,Role,Name (Country)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Coordinating Lead Author,Nathaniel L. Bindoff (Australia)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Coordinating Lead Author,Peter A. Stott (UK)
,,,
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Krishna Mirle AchutaRao (India)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Myles R. Allen (UK)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Nathan Gillett (Canada)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,David Gutzler (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Kabumbwe Hansingo (Zambia)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Gabriele Hegerl (UK/Germany)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Yongyun Hu (China)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Suman Jain (Zambia)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Igor I. Mokhov (Russian Federation)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,James Overland (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Judith Perlwitz (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Rachid Sebbari (Morocco)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Lead Author,Xuebin Zhang (Canada)
,,,
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Magne Aldrin (Norway)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Beena Balan Sarojini (UK/India)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Jürg Beer (Switzerland)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Olivier Boucher (France)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Pascale Braconnot (France)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Oliver Browne (UK)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Ping Chang (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Nikolaos Christidis (UK)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Tim DelSole (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Catia M. Domingues (Australia/Brazil)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Paul J. Durack (USA/Australia)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Alexey Eliseev (Russian Federation)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Kerry Emanuel (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Graham Feingold (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Chris Forest (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Jesus Fidel González Rouco (Spain)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Hugues Goosse (Belgium)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Lesley Gray (UK)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Jonathan Gregory (UK)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Isaac Held (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Greg Holland (USA)
10SM,Detection and Attribution of Climate Change: from Global to Regional Supplementary Material,Contributing Author,Jara Imbers Quintana (UK)
