Chapter,Title,Role,Name,Institution,Country
Chapter 13,Sea Level Change,Coordinating Lead Author,John A. Church,CSIRO Marine and Atmospheric Research,Australia
Chapter 13,Sea Level Change,Coordinating Lead Author,Peter U. Clark,Oregon State University,USA
,,,,,
Chapter 13,Sea Level Change,Lead Author,Anny Cazenave,Laboratoire d'Etudes en Géophysique et Océanographie Spatiale,France
Chapter 13,Sea Level Change,Lead Author,Jonathan M. Gregory,University of Reading and Met Office Hadley Centre,UK
Chapter 13,Sea Level Change,Lead Author,Svetlana Jevrejeva,National Oceanography Centre,UK
Chapter 13,Sea Level Change,Lead Author,Anders Levermann,Potsdam Institute for Climate Impact Research,Germany
Chapter 13,Sea Level Change,Lead Author,Mark A. Merrifield,University of Hawaii,USA
Chapter 13,Sea Level Change,Lead Author,Glenn A. Milne,University of Ottawa,Canada
Chapter 13,Sea Level Change,Lead Author,R. Steven Nerem,Cooperative Institute for Research in Environmental Sciences,USA
Chapter 13,Sea Level Change,Lead Author,Patrick D. Nunn,University of New England,Australia
Chapter 13,Sea Level Change,Lead Author,Antony J. Payne,University of Bristol,UK
Chapter 13,Sea Level Change,Lead Author,W. Tad Pfeffer,University of Colorado,USA
Chapter 13,Sea Level Change,Lead Author,Detlef Stammer,University of Hamburg,Germany
Chapter 13,Sea Level Change,Lead Author,Alakkat S. Unnikrishnan,National Institute of Oceanography,India
,,,,,
Chapter 13,Sea Level Change,Review Editor,Jean Jouzel,Laboratoire des Sciences du Climat et de l'Environnement,France
Chapter 13,Sea Level Change,Review Editor,Roderik van de Wal,Utrecht University,Netherlands
Chapter 13,Sea Level Change,Review Editor,Philip L. Woodworth,National Oceanography Centre,UK
Chapter 13,Sea Level Change,Review Editor,Cunde Xiao,China Meteorological Administration,China
,,,,,
Chapter 13,Sea Level Change,Contributing Author,David B. Bahr,,USA
Chapter 13,Sea Level Change,Contributing Author,Jason E. Box,,Denmark
Chapter 13,Sea Level Change,Contributing Author,David H. Bromwich,,USA
Chapter 13,Sea Level Change,Contributing Author,Mark Carson,,Germany
Chapter 13,Sea Level Change,Contributing Author,William Collins,,UK
Chapter 13,Sea Level Change,Contributing Author,Xavier Fettweis,,Belgium
Chapter 13,Sea Level Change,Contributing Author,Piers Forster,,UK
Chapter 13,Sea Level Change,Contributing Author,Alex S. Gardner,,USA
