"Role","Name (Country)"
"Edited by","ROGER F. McLEAN (AUSTRALIA) "
"Edited by","S.K. SINHA (INDIA) "
"Edited by","M.Q. MIRZA (BANGLADESH) "
"Edited by","MURARI LAL (INDIA) "
,
"Contributor","A. Achanta (India) "
"Contributor","S. Adhikary (Nepal) "
"Contributor","R.V. Cruz (Philippines) "
"Contributor","Lim Joo Tick (Malaysia) "
"Contributor","A.N. Purohit (India) "
"Contributor","A. Soegiarto (Indonesia) "
"Contributor","S. Soesanto (Indonesia) "
"Contributor","C. Tingsabadh (Thailand) "
