Chapter,Role,Name,Country
Energy Supply,Coordinating Lead Author,Robert Schock,USA
Energy Supply,Coordinating Lead Author,Ralph E. H. Sims,New Zealand
,,,
Energy Supply,Lead Author,Anthony O. Adegbulugbe,Nigeria
Energy Supply,Lead Author,Jørgen Fenhann,Denmark
Energy Supply,Lead Author,Inga Konstantinaviciute,Lithuania
Energy Supply,Lead Author,William Moomaw,USA
Energy Supply,Lead Author,Hassan Bashir Nimir,Sudan
Energy Supply,Lead Author,Bernhard Schlamadinger,Austria
Energy Supply,Lead Author,Julio Torres-Martínez,Cuba
Energy Supply,Lead Author,Clive R. Turner,South Africa
Energy Supply,Lead Author,Yohji Uchiyama,Japan
Energy Supply,Lead Author,Seppo Vuori,Finland
Energy Supply,Lead Author,Njeri Wamukonya,Kenya
Energy Supply,Lead Author,Xiliang Zhang,China
,,,
Energy Supply,Contributing Author,Arne Asmussen,Austria
Energy Supply,Contributing Author,Stephen Gehl,USA
Energy Supply,Contributing Author,Michael Golay,USA
Energy Supply,Contributing Author,Eric Martinot,China
,,,
Energy Supply,Review Editor,Hans Larsen,Denmark
Energy Supply,Review Editor,Jose Roberto Moreira,Brazil
