Chapter,Role,Name (Country)
Hydrology and Freshwater Ecology,Coordinating Lead Author,Nigel Arnell (United Kingdom)
Hydrology and Freshwater Ecology,Coordinating Lead Author,Bryson C. Bates (Australia)
Hydrology and Freshwater Ecology,Coordinating Lead Author,Herbert Lang (Switzerland)
Hydrology and Freshwater Ecology,Coordinating Lead Author,John J. Magnuson (USA)
Hydrology and Freshwater Ecology,Coordinating Lead Author,Patrick Mulholland (USA)
,,
Hydrology and Freshwater Ecology,Lead Author,S. Fisher (USA)
Hydrology and Freshwater Ecology,Lead Author,Chunzhen Liu (China)
Hydrology and Freshwater Ecology,Lead Author,Diane McKnight (USA)
Hydrology and Freshwater Ecology,Lead Author,Oedon Starosolszky (Hungary)
Hydrology and Freshwater Ecology,Lead Author,Melissa Taylor (Canada)
,,
Hydrology and Freshwater Ecology,Contributing Author,E. Aquize (Peru)
Hydrology and Freshwater Ecology,Contributing Author,S. Arnott (USA)
Hydrology and Freshwater Ecology,Contributing Author,D. Brakke (USA)
Hydrology and Freshwater Ecology,Contributing Author,L. Braun (Germany)
Hydrology and Freshwater Ecology,Contributing Author,S. Chalise (Nepal)
Hydrology and Freshwater Ecology,Contributing Author,C. Chen (USA)
Hydrology and Freshwater Ecology,Contributing Author,C.L. Folt (USA)
Hydrology and Freshwater Ecology,Contributing Author,"S. Gafny, Israel"
Hydrology and Freshwater Ecology,Contributing Author,Keisuke Hanaki (Japan)
Hydrology and Freshwater Ecology,Contributing Author,R. Hecky (Canada)
Hydrology and Freshwater Ecology,Contributing Author,G.H. Leavesley (USA)
Hydrology and Freshwater Ecology,Contributing Author,H. Lins (USA)
Hydrology and Freshwater Ecology,Contributing Author,J. Nemec (Switzerland)
Hydrology and Freshwater Ecology,Contributing Author,K.S. Ramasastri (India)
Hydrology and Freshwater Ecology,Contributing Author,L. Somlyody (Hungary)
Hydrology and Freshwater Ecology,Contributing Author,Eugene Z. Stakhiv (USA)
