"Role","Name (Country)"
"Edited by","JOHN T. EVERETT (USA)"
"Edited by","B. BLAIR FITZHARRIS (NEW ZEALAND)"
,
"Lead Author","B. Maxwell (Canada)"
,
"Contributor","M. Beniston (Switzerland)"
"Contributor","P.A. Berkman (USA) "
"Contributor","H.S. Bolton (USA) "
"Contributor","J. Brown (USA) "
"Contributor","R. Brown (Canada) "
"Contributor","D. Demaster (USA) "
"Contributor","S. Diaz (Argentina) "
"Contributor","R. Dixon (USA) "
"Contributor","D. Drewry (UK) "
"Contributor","L. Dyke (Canada) "
"Contributor","K.A. Edwards (Kenya "
"Contributor","A. Gunn (Canada) "
"Contributor","R. Hewitt (USA) "
"Contributor","R. Jefferies (Canada) "
"Contributor","S. Kim (Korea) "
"Contributor","P. Kuhry (Finland "
"Contributor","J. Kuylenstierna (UN) "
"Contributor","W.J.M. Martens (Netherlands) "
"Contributor","M. McFarland (USA) "
"Contributor","A.D. McGuire (USA) "
"Contributor","A.J. McMichael (UK)"
"Contributor","U. Molau (Sweden) "
"Contributor","M. Oquist (Sweden) "
"Contributor","C.J. Peckham (USA) "
"Contributor","C.A. Rinaldi (Argentina) "
"Contributor","F. Roots (Canada) "
"Contributor","E. Sakshaug (Norway) "
"Contributor","M. Scott (USA) "
"Contributor","J.B. Smith (USA) "
"Contributor","R.S.J. Tol (The Netherlands) "
"Contributor","C. Tynan (USA) "
"Contributor","E.C. Weatherhead (USA) "
"Contributor","G. Weller (USA) "
"Contributor","E. Wolff (UK) "
