#,Chapter,Role,Name (Country)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Geert Jan van Oldenborgh (Netherlands)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Matthew Collins (UK)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Julie Arblaster (Australia)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Jens Hesselbjerg Christensen (Denmark)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Jochem Marotzke (Germany)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Scott B. Power (Australia)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Markku Rummukainen (Sweden)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Editorial Team,Tianjun Zhou (China)
,,,
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Advisory Board,David Wratt (New Zealand)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Advisory Board,Francis Zwiers (Canada)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Advisory Board,Bruce Hewitson (South Africa)
,,,
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Review Editor Team,Pascale Delecluse (France)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Review Editor Team,John Fyfe (Canada)
AISM,Annex I: Atlas of Global and Regional Climate Projections Supplementary Material RCP6.0,Review Editor Team,Karl Taylor (USA)
