Country,"Name, Institution"
Algeria,"Houria Djoudi, Center for International Forestry Research (CIFOR)"
,
Argentina,"Susana Beatriz Adamo, Columbia University"
Argentina,"Osvaldo Canziani, Academia Argentina de Ciencias Ambientales"
Argentina,"Anibal Eduardo Carbajo, Universidad Nacional de San Martín"
Argentina,"Hector Ginzo, Academia Argentina de Ciencias Ambientales"
Argentina,"Leonidas Osvaldo Girardin, Fundación Bariloche"
Argentina,"Graciela Magrin, Instituto Nacional de Tecnología Agropecuaria"
Argentina,"Juan Jose Neiff, National Scientific and Technical Research Council (CONICET) / Universidad Nacional del Nordeste"
Argentina,"Olga Clorinda Penalba, Universidad de Buenos Aires"
Argentina,"Rubén Piacentini, Institute of Physics, National University of Rosario / National Scientific and Technical Research Council (CONICET)"
Argentina,"Miguel Angel Taboada, Instituto Nacional Tecnología Agropecuaria"
Argentina,"Elda Tancredi, National University of Luján / International Human Dimensions Programme"
Argentina,"María Isabel Travasso, Instituto Nacional de Tecnología Agropecuaria"
Argentina,"Ernesto Viglizzo, National Institute for Agricultural Technology (INTA) / National Scientific and Technical Research Council (CONICET)"
Argentina,"Alejandra Volpedo, University of Buenos Aires / National Scientific and Technical Research Council (CONICET)"
,
Australia,"Carolina Adler, Swiss Federal Institute of Technology (ETH) Zurich"
Australia,"Adrian Barnett, Queensland University of Technology"
Australia,"Jonathon Barnett, University of Melbourne"
Australia,"Paul Beggs, Macquarie University"
Australia,"Jensen Benedikte, Department of the Environment"
Australia,"Helen Berry, University of Canberra"
Australia,"Nick Bond, Griffith University"
Australia,"Sarah Boulter, National Climate Change Adaptation Research Facility, Griffith University"
Australia,"Kathryn Bowen, Australian National University"
Australia,"Cassandra Brooke, World Wildlife Fund International"
Australia,"Christopher J. Brown, University of Queensland"
Australia,"Stuart Bunn, Griffith University"
Australia,"Colin Butler, University of Canberra / National Centre for Epidemiology and Population Health, Australian National University"
Australia,"Andrew Campbell, Charles Darwin University"
Australia,"Lynda Chambers, Australian Bureau of Meteorology"
Australia,"Francis Chiew, Commonwealth Scientific and Industrial Research Organization"
Australia,"Hamish Clarke, The University of South Wales"
Australia,"Andrew Constable, Australian Antarctic Division"
Australia,"Carlos Corvalan, Pan America Health Organization / World Health Organization"
Australia,"Lisa Cowan, Department of Primary Industries"
Australia,"Jocelyn Davies, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Tom Davies, Edge Environment"
Australia,"Adam Davis, Manidis Roberts Pty Ltd"
Australia,"Keith Dear, Australian National University"
Australia,"Nega Debela, University of Tasmania"
Australia,"Stephen Dovers, Australian National University"
Australia,"Carlos M. Duarte, University of Western Australia / Spanish National Research Council"
Australia,"Kyla Finlay, Department of Primary Industries, Victoria"
Australia,"Elizabeth A. Fulton, Commonwealth Scientific and Industrial Research Organisation"
Australia,"Kirsty Galloway McLean, United Nations University-Institute of Advanced Studies"
Australia,"David George, Griffith University"
Australia,"Habiba Gitay, The World Bank"
Australia,"Sonia Graham, University of Melbourne"
Australia,"Donna Green, University of New South Wales"
Australia,"Don Gunasekera, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"John Handmer, Centre for Risk and Community Safety, RMIT University"
Australia,"Kevin Hennessy, Commonwealth Scientific and Industrial Research Organization"
Australia,"Beverley Henry, Queensland University of Technology"
Australia,"Bradley Hiller, The World Bank"
,
Australia,"Alistair Hobday, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Ove Hoegh-Guldberg, University of Queensland"
Australia,"Neil Holbrook, University of Tasmania"
Australia,"Mark Howden, Commonwealth Scientific and Industrial Research Organization (CSIRO)"
Australia,"Lesley Hughes, Macquarie University"
Australia,"Graeme Hugo, University of Adelaide"
Australia,"Sue Jackson, Griffith University"
Australia,"Benedikte Jensen, Department of Industry, Innovation, Climate Change, Science, Research and Tertiary Education"
Australia,"David Jones, Bureau of Meteorology"
Australia,"Roger N. Jones, Victoria University"
Australia,"David Karoly, University of Melbourne"
Australia,"Robert Kay, Adaptive Futures"
Australia,"Marie Keatley, University of Melbourne"
Australia,"Stuart Kent, University of Melbourne"
Australia,"Roger Kitching, Griffith University"
Australia,"Natasha Kuruppu, Institute for Sustainable Futures"
Australia,"Constance Lever-Tracy, Flinders University of South Australia"
Australia,"Stephan Lewandowsky, University of Western Australia"
Australia,"Janice Lough, Australian Institute of Marine Science"
Australia,"Margaret Loughnan, Monash University"
Australia,"Jo Luck, Plant Biosecurity Cooperative Research Centre"
Australia,"Cate Macinnis-Ng, University of Auckland"
Australia,"Thilak Mallawaarachchi, University of Queensland"
Australia,"Yiheyis Maru, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Jan McDonald, University of Tasmania"
Australia,"Melodie McGeoch, Monash University"
Australia,"Kathleen McInnes, Commonwealth Scientific and Industrial Research Organization Marine and Atmospheric Research"
Australia,"Roger McLean, University of New South Wales"
Australia,"Anthony McMichael, Australian National University, Professor Emeritus"
Australia,"Celia McMichael, La Trobe University"
Australia,"Judith McNeill, University of New England"
Australia,"Thomas Measham, Commonwealth Scientific and Industrial Research Organisation (CSIRO) Ecosystem Sciences"
Australia,"Shahbaz Mehmood, Global Change Impact Studies Centre"
Australia,"Gary Meyers, Commonwealth Scientific and Industrial Research Organisation (CSIRO) Marine and Atmospheric Research"
Australia,"Kimberley Millers, University of Melbourne"
Australia,"Michael Miloshis, Charles Darwin University"
Australia,"Andrew Moore, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Colette Mortreux, University of Melbourne"
Australia,"Sharif Ahmed Mukul, The University of Queensland"
Australia,"Shahbaz Mushtaq, University of Southern Queensland"
Australia,"Steve Nicol, Australian Antarctic Division / Antarctic Climate and Ecosystems Cooperative Research Centre"
Australia,"Ian Noble, Consultant"
Australia,"Barbara Norman, University of Canberra / Australian National University"
Australia,"Robert Norton, International Plant Nutrition Institute"
Australia,"Mark Ooi, University of Wollongong"
Australia,"Jean Palutikof, Griffith University"
Australia,"Graeme Pearman, Monash University"
Australia,"Jonathan Pickering, Australian National University"
Australia,"Bob Pokrant, Curtin University"
Australia,"Elvira Poloczanska, Commonwealth Scientific and Industrial Research Organisation (CSIRO), Marine and Atmospheric Research"
Australia,"Scott Power, Bureau of Meteorology"
Australia,"Joseph Reser, Griffith University"
Australia,"Thomas Reuter, University of Melbourne"
Australia,"Penny Reyenga, Department of Environment / Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Anthony J. Richardson, Commonwealth Scientific and Industrial Research Organization / University of Queensland"
Australia,"Lauren Rickards, University of Melbourne"
Australia,"David Rissik, Griffith University"
,
Australia,"Kevin Ronan, Central Queensland University"
Australia,"Helen Ross, University of Queensland"
Australia,"Neil Saintilan, Office of Environment and Heritage"
Australia,"David S. Schoeman, University of the Sunshine Coast"
Australia,"Sandra Schuster, Disaster Resilience and Climate Risk Consultant"
Australia,"Neville Smith, Bureau of Meteorology (Retired)"
Australia,"Timothy F. Smith, University of the Sunshine Coast"
Australia,"Leon Soste, Department of Primary Industries"
Australia,"Mark Stafford Smith, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Will Steffen, Australian National University"
Australia,"Roger Stone, University of Southern Queensland"
Australia,"Shilu Tong, Queensland University of Technology"
Australia,"Stephen Turton, James Cook University"
Australia,"Xiaoming Wang, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Elissa Waters, University of Melbourne"
Australia,"Bob Webb, Australian National University"
Australia,"Leanne Webb, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Barbara Weinecke, Australian Antarctic Division / Antarctic Climate and Ecosystems Cooperative Research Centre"
Australia,"Tony Weir, University of the South Pacific"
Australia,"Seth Westra, University of Adelaide"
Australia,"Penny Whetton, Commonwealth Scientific and Industrial Research Organisation (CSIRO), Marine and Atmospheric Research"
Australia,"Nadine Elizabeth White, Southern Cross University"
Australia,"Russell Wise, Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
Australia,"Eric Woehler, University of Tasmania"
Australia,"Colin Woodroffe, University of Wollongong"
Australia,"Paul Woods, World Vision"
Australia,"Celeste Young, Victoria Institute of Strategic Economic Studies (VISES), Victoria University"
Australia,"Md Younus, School of the Environment, Flinders University / Adelaide University"
,
Austria,"Susanne Hanger, International Institute for Applied Systems Analysis"
Austria,"Stefan Kienberger, University of Salzburg"
Austria,"Reinhard Mechler, International Institute for Applied Systems Analysis / Vienna University of Economics"
Austria,"Anthony Patt, Swiss Federal Institute of Technology"
Austria,"Harald Pauli, Austrian Academy of Sciences"
Austria,"Klaus Radunsky, Umweltbundesamt GmbH"
Austria,"Peter Rauch, University of Natural Resources and Life Sciences, Vienna"
Austria,"Bernhard Riegl, Nova Southeastern University"
Austria,"Andreas Scheba, University of Manchester"
Austria,"Vegard Skirbekk, International Institute for Applied Systems Analysis (IIASA)"
,
Bahamas,"Adelle Thomas, College of the Bahamas"
,
Bangladesh,"Atiq Kainan Ahmed, Asian Disaster Preparedness Center (ADPC)"
Bangladesh,"Ahsan Uddin Ahmed, Centre for Global Change (CGC)"
Bangladesh,"Mozaharul Alam, United Nations Environment Programme"
Bangladesh,"Rawshan Ara Begum, University Kebangsaan Malaysia (UKM)"
Bangladesh,"Saleemul Huq, International Institute for Environment and Development (IIED) / International Centre for Climate Change and Development (ICCCAD)"
Bangladesh,"Haseeb Irfanullah, Practical Action"
Bangladesh,"A K M Saiful Islam, Bangladesh University of Engineering and Technology"
Bangladesh,"Sharmind Neelormi, GenderCC-Women for Climate Justice"
Bangladesh,"M. Monirul Qader Mirza, Environment Canada"
Bangladesh,"Golam Sarwar, Bangladesh Unnayan Parishad (BUP)"
,
Barbados,"Leonard Nurse, University of the West Indies"
Barbados,"Leisa Perch, United Nations Development Programme / World Centre for Sustainable Development (Centro Rio +)"
,
Belgium,"Johan Bogaert, Nature and Energy Policy Division, Flemish Government"
Belgium,"Wouter Buytaert, Imperial College London"
Belgium,"Collin Claire, Direction Generale de l’environnement"
Belgium,"Joann de Zegher, Stanford University"
Belgium,"Drieu Godefridi, Cogito"
Belgium,"Rafiq Hamdi, Royal Meteorological Institute of Belgium"
Belgium,"Jean Hugé, Ghent University"
Belgium,"Pol Knops, Katholieke Universiteit Leuven"
Belgium,"Suzanne Leroy, Brunei University"
Belgium,"Philippe Marbaix, Université catholique de Louvain"
Belgium,"Andrea Tilche, European Commission Directorate"
Belgium,"Rafael Tuts, United Nations Human Settlements Programme (UN Habitat)"
Belgium,"Jean-Pascal van Ypersele, Université catholique de Louvain (TECLIM)"
Belgium,"Martine Vanderstraeten, Belgian Federal Science Policy Office"
Belgium,"Eline Vanuytrecht, Katholieke Universiteit Leuven"
Belgium,"Dirk Verschuren, Ghent University"
Belgium,"Romain Weikmans, Universite Libre de Bruxelles"
Belgium,"Patrick Willems, Katholieke Universiteit Leuven"
,
Bolivia,"Juan Hoffmaister, Ministry of Foreign Affairs"
,
Botswana,"Pauline Dube, University of Botswana"
Botswana,"Wame Lucretia Hambira, University of Botswana"
,
Brazil,"Paulo Brando, Instituto de Pesquisa Ambiental da Amazônia (IPAM)"
Brazil,"Marcos S. Buckeridge, University of Sao Paulo"
Brazil,"Ulisses E. C. Confalonieri, Laboratório de Educação em Saúde e Ambiente / Centro de Pesquisas Rene Rachou / Oswaldo Cruz Foundation"
Brazil,"Christiano de Campos, Petroleo Brasileiro SA"
Brazil,Amanda Pereira de Souza
Brazil,"Carolina Dubeux, Federal University of Rio de Janeiro-COPPE"
Brazil,"Jose Gustavo Feres, Institute of Applied Economic Research"
Brazil,"Felipe Ferreira, Ministry of External Relations, Brazil"
Brazil,"José Marengo, Centro de Ciências do Sistema Terrestre (CCST) / Instituto Nacional de Pesquisas Espaciais (INPE) "
Brazil,"Maria Muylaert de Araujo, Federal University of Rio de Janeiro"
Brazil,"Carlos Nobre, Ministry of Science and Technology"
Brazil,"Milton Nogueira da Silva, Climate Change Forum of Minas Gerais"
Brazil,"Jean Pierre Ometto, National Institute for Space Research"
Brazil,"Marcia Real, Universidade Federal Fluminense"
Brazil,Paulo Saldiva
Brazil,"Fabio R. Scarano, Conservation International / Universidade Federal do Rio de Janeiro"
Brazil,"Maria Assunção Faus da Silva Dias, University of Sao Paulo"
Brazil,"Roberto Teixeira Luz, Brazilian Geography and Statistics Institute (IBGE)"
Brazil,"Andrea Young, State University of Campinas (UNICAMP)"
,
Bulgaria,"Emilia Pramova, Center for International Forestry Research (CIFOR)"
,
Burkina Faso,"Leopold Some, Centre National de la Recherche Scientifique Technologique"
Burkina Faso,"Dieudonné Pascal Yaka, Burkina Meteorological Authority / University of Ouagadougou"
,
Cameroon,"Calvin Atewamba, National Agency for Information and Communication"
Cameroon,"Michael Balinga, Center for International Forestry Research"
Cameroon,"Beckline Mukete, University of Buea"
Cameroon,"Johnson Ndi Nkem, United Nations Development Programme Cambodia"
Cameroon,"Precillia Ijang Tata epouse Ngome, Institute of Agricultural Research for Development"
,
Canada,"Robert Arnot, Natural Resources Canada"
Canada,"David Atkinson, University of Victoria"
,
Canada,"Fikret Berkes, University of Manitoba Natural Resources Institute"
Canada,"Pierre Bernier, Natural Resources Canada"
Canada,"Peter Berry, Health Canada"
Canada,"Mike Brklacich, Carleton University"
Canada,"Ross Brown, Environment Canada"
Canada,"Ian Burton, University of Toronto"
Canada,"Elizabeth Bush, Environment Canada"
Canada,"Christine Callihoo, Canadian Institute of Planners (CIP)"
Canada,"Campbell Campbell, Natural Resources Canada"
Canada,"Diane Chaumont, Ouranos"
Canada,"William Cheung, University of British Columbia"
Canada,"James Christian, Government of Canada"
Canada,"Ian Church, Canadian Foundation for Climate and Atmospheric Sciences / International Polar Year (IPY) Canada"
Canada,"J. Graham Cogley, Trent University"
Canada,"Stewart Cohen, Adaptation and Impacts Research, Environment Canada"
Canada,"Ashlee Cunsolo Willox, McGill University"
Canada,"Debra Davidson, University of Alberta"
Canada,"Ramon de Elia, Ouranos Consortium"
Canada,"Rob de Loë, University of Waterloo"
Canada,"Tom Deligiannis, University of Western Ontario"
Canada,"Andrew Derocher, University of Alberta"
Canada,"Narayan Dhital, Laval University"
Canada,"Antony Diamond, University of New Brunswick"
Canada,"Thea Dickinson, University of Toronto"
Canada,"Karen Dodds, Environment Canada"
Canada,"Simon Donner, University of British Columbia"
Canada,"Victoria Edge, Public Health Agency of Canada"
Canada,"Jason Edwards, Natural Resources Canada"
Canada,"Susan Evans, World Wildlife Fund-Canada"
Canada,"Richard Fernandes, Natural Resources Canada"
Canada,"Richard Arthur Fleming, Canadian Forest Service"
Canada,"Sean Fleming, Meteorological Service of Canada"
Canada,"Evan Fraser, University of Guelph / University of Leeds"
Canada,"Martin Gauthier, Natural Resources Canada"
Canada,"Martin Girardin, Natural Resources Canada"
Canada,"Blane Harvey, International Development Research Centre"
Canada,"Erica Head, Fisheries and Oceans Canada"
Canada,"Regine Hock, University of Alaska Fairbanks"
Canada,"Darwin Horning, University of British Columbia Okanagan"
Canada,"Carol Hunsberger, Institute of Social Studies"
Canada,"Craig Johnson, University of Guelph"
Canada,"Sanjay Khanna, Massey College in the University of Toronto"
Canada,"Paul Kovacs, Institute for Catastrophic Loss Reduction"
Canada,"Tajula Kulkarni, Aboriginal Affairs and Northern Development Canada"
Canada,"Caroline Larrivée, Ouranos"
Canada,"Liza Leclerc, Ouranos Consortium Incorporated"
Canada,"Donald Lemmen, Natural Resources Canada"
Canada,"Gita L. Ljubicic, Carleton University"
Canada,"Connie Lovejoy, Université Laval"
Canada,"Katie Lundy, Environment Canada"
Canada,"Nick Macaluso, Environment Canada"
Canada,"James MacLellan, University of New Brunswick"
Canada,"Bob Manteaw, Government of Alberta"
Canada,"Bonita McFarlane, Natural Resources Canada"
Canada,"Stewart M. McKinnell, North Pacific Marine Science Organization"
Canada,"Carrie Mitchell, International Development Research Centre (IDRC)"
