Chapter,Role,Name,Country
Regional Climate Projections,Coordinating Lead Author,Jens Hesselbjerg Krishna Christensen,Denmark
Regional Climate Projections,Coordinating Lead Author,Bruce Charles Hewitson,South Africa
,,,
Regional Climate Projections,Lead Author,Claudio Menendez,Argentina
Regional Climate Projections,Lead Author,Penny Whetton,Australia
Regional Climate Projections,Lead Author,René Laprise,Canada
Regional Climate Projections,Lead Author,Xuejie Gao,China
Regional Climate Projections,Lead Author,Jouni Raisanen,Finland
Regional Climate Projections,Lead Author,Annette Rinke,Germany
Regional Climate Projections,Lead Author,Rupa Kumar Kolli,India
Regional Climate Projections,Lead Author,A. Anthony Chen,Jamaica
Regional Climate Projections,Lead Author,Victor Magaña Rueda,Mexico
Regional Climate Projections,Lead Author,Aristita Busuioc,Romania
Regional Climate Projections,Lead Author,Abdoulaye Sarr,Senegal
Regional Climate Projections,Lead Author,Won-Tae Kwon,South Korea
Regional Climate Projections,Lead Author,Linda O. Mearns,USA
Regional Climate Projections,Lead Author,Isaac Held,USA
Regional Climate Projections,Lead Author,Richard Jones,United Kingdom
,,,
Regional Climate Projections,Contributing Author,Kathleen McInnes,Australia
Regional Climate Projections,Contributing Author,Ramasamy Suppiah,Australia
Regional Climate Projections,Contributing Author,Amanda H. Lynch,Australia
Regional Climate Projections,Contributing Author,Christoph Matulla,Canada
Regional Climate Projections,Contributing Author,David Plummer,Canada
Regional Climate Projections,Contributing Author,Daniel Caya,Canada
Regional Climate Projections,Contributing Author,Ramon de Elia,Canada
Regional Climate Projections,Contributing Author,Samuel Somot,France
Regional Climate Projections,Contributing Author,Klaus Dethloff,Germany
Regional Climate Projections,Contributing Author,Rudiger Gerdes,Germany
Regional Climate Projections,Contributing Author,Martin Widmann,Germany
Regional Climate Projections,Contributing Author,Majid Habibi Nokhandan,Iran
Regional Climate Projections,Contributing Author,Seita Emori,Japan
Regional Climate Projections,Contributing Author,Akio Kitoh,Japan
Regional Climate Projections,Contributing Author,A. Brett Mullan,New Zealand
Regional Climate Projections,Contributing Author,Rasmus Benestad,Norway
Regional Climate Projections,Contributing Author,Inger Hanssen-Bauer,Norway
Regional Climate Projections,Contributing Author,Anna V. Mescherskaya,Russian Federation
Regional Climate Projections,Contributing Author,Mark Tadross,South Africa
Regional Climate Projections,Contributing Author,Warren Tennant,South Africa
Regional Climate Projections,Contributing Author,Jesus Fidel Gonzalez-Rouco,Spain
Regional Climate Projections,Contributing Author,Markku Rummukainen,Sweden
Regional Climate Projections,Contributing Author,Christoph Schar,Switzerland
Regional Climate Projections,Contributing Author,Martin Beniston,Switzerland
Regional Climate Projections,Contributing Author,Joey Comiso,USA
Regional Climate Projections,Contributing Author,Richard W. Katz,USA
Regional Climate Projections,Contributing Author,Claudia Tebaldi,USA
Regional Climate Projections,Contributing Author,David H. Bromwich,USA
Regional Climate Projections,Contributing Author,Reto Knutti,USA
Regional Climate Projections,Contributing Author,Bruce L. Wyman,USA
Regional Climate Projections,Contributing Author,Raymond Arritt,USA
Regional Climate Projections,Contributing Author,William Gutowski,USA
Regional Climate Projections,Contributing Author,Ruby Leung,USA
Regional Climate Projections,Contributing Author,Johannes Feddema,USA
Regional Climate Projections,Contributing Author,Jeremy S. Pal,USA
Regional Climate Projections,Contributing Author,Mark New,United Kingdom
Regional Climate Projections,Contributing Author,Daithi A. Stone,United Kingdom
Regional Climate Projections,Contributing Author,Christopher Jones,United Kingdom
Regional Climate Projections,Contributing Author,Jason A. Lowe,United Kingdom
Regional Climate Projections,Contributing Author,Robert Wilby,United Kingdom
,,,
Regional Climate Projections,Review Editor,Congbin Fu,China
Regional Climate Projections,Review Editor,Filippo Giorgi,Italy
