Chapter,Role,Name (Country)
,,
Technical Summary,Lead Author,T. Banuri (USA)
Technical Summary,Lead Author,Terry Barker (United Kingdom)
Technical Summary,Lead Author,Igor Alexeyevich Bashmakov (Russian Federation)
Technical Summary,Lead Author,Kornelis Blok (The Netherlands)
Technical Summary,Lead Author,John M. Christensen (Denmark)
Technical Summary,Lead Author,Ogunlade R. Davidson (South Africa)
Technical Summary,Lead Author,Michael Grubb (United Kingdom)
Technical Summary,Lead Author,Kirsten Halsnaes (Denmark)
Technical Summary,Lead Author,Hisashi Ishitani (Japan)
Technical Summary,Lead Author,Catrinus J. Jepma (The Netherlands)
Technical Summary,Lead Author,Eberhard Jochem (Germany)
Technical Summary,Lead Author,P.E. Kauppi (Finland)
Technical Summary,Lead Author,Olga N. Krankina (USA)
Technical Summary,Lead Author,Alan J. Krupnick (USA)
Technical Summary,Lead Author,Lambert Kuijpers (The Netherlands)
Technical Summary,Lead Author,Snorre Kverndokk (Norway)
Technical Summary,Lead Author,Anil Markandya (United Kingdom)
Technical Summary,Lead Author,Bert Metz (The Netherlands)
Technical Summary,Lead Author,William Moomaw (USA)
Technical Summary,Lead Author,Jose Roberto Moreira (Brazil)
Technical Summary,Lead Author,T. Morita (Japan)
Technical Summary,Lead Author,Jiahua Pan (China)
Technical Summary,Lead Author,Jeff Price (USA)
Technical Summary,Lead Author,Richard G. Richels (USA)
Technical Summary,Lead Author,David Robinson (USA)
Technical Summary,Lead Author,Jayant Sathaye (USA)
Technical Summary,Lead Author,Rob J. Swart (The Netherlands)
Technical Summary,Lead Author,Kanako Tanaka (Japan)
Technical Summary,Lead Author,T. Taniguchi (Japan)
Technical Summary,Lead Author,Karl E. Taylor (USA)
Technical Summary,Lead Author,Ferenc L. Toth (Germany)
,,
,,
Technical Summary,Review Editor,R.K. Pachauri (India)
