Chapter,Role,Name (Country)
Direct Solar Energy,Coordinating Lead Author,Dan Arvizu (USA)
Direct Solar Energy,Coordinating Lead Author,Palani Balaya (Singapore/India)
,,
Direct Solar Energy,Lead Author,Luisa F. Cabeza (Spain)
Direct Solar Energy,Lead Author,K.G. Terry Hollands (Canada)
Direct Solar Energy,Lead Author,Arnulf Jäger-Waldau (Italy/Germany)
Direct Solar Energy,Lead Author,Michio Kondo (Japan)
Direct Solar Energy,Lead Author,Charles Konseibo (Burkina Faso)
Direct Solar Energy,Lead Author,Valentin Meleshko (Russia)
Direct Solar Energy,Lead Author,Wesley Stein (Australia)
Direct Solar Energy,Lead Author,Yutaka Tamaura (Japan)
Direct Solar Energy,Lead Author,Honghua Xu (China)
Direct Solar Energy,Lead Author,Roberto Zilles (Brazil)
,,
Direct Solar Energy,Contributing Author,Armin Aberle (Singapore/Germany)
Direct Solar Energy,Contributing Author,Andreas Athienitis (Canada)
Direct Solar Energy,Contributing Author,Shannon Cowlin (USA)
Direct Solar Energy,Contributing Author,Don Gwinner (USA)
Direct Solar Energy,Contributing Author,Garvin Heath (USA)
Direct Solar Energy,Contributing Author,Thomas Huld (Italy/Denmark)
Direct Solar Energy,Contributing Author,Ted James (USA)
Direct Solar Energy,Contributing Author,Lawrence Kazmerski (USA)
Direct Solar Energy,Contributing Author,Margaret Mann (USA)
Direct Solar Energy,Contributing Author,Koji Matsubara (Japan)
Direct Solar Energy,Contributing Author,Anton Meier (Switzerland)
Direct Solar Energy,Contributing Author,Arun Mujumdar (Singapore)
Direct Solar Energy,Contributing Author,Takashi Oozeki (Japan)
Direct Solar Energy,Contributing Author,Oumar Sanogo (Burkina Faso)
Direct Solar Energy,Contributing Author,Matheos Santamouris (Greece)
Direct Solar Energy,Contributing Author,Michael Sterner (Germany)
Direct Solar Energy,Contributing Author,Paul Weyers (Netherlands)
,,
Direct Solar Energy,Review Editor,Eduardo Calvo (Peru)
Direct Solar Energy,Review Editor,Jürgen Schmid (Germany)
