Chapter,Title,Role,Name,Institution,Country
Chapter 05,Coastal systems and low-lying areas,Coordinating Lead Author,Iñigo J. Losada,"Universidad de Cantabria, Environmental Hydraulics Institute IH Cantabria",Spain
Chapter 05,Coastal systems and low-lying areas,Coordinating Lead Author,Poh Poh Wong,National University of Singapore,Singapore
,,,,,
Chapter 05,Coastal systems and low-lying areas,Lead Author,Jean-Pierre Gattuso,Centre National de la Recherche Scientifique,France
Chapter 05,Coastal systems and low-lying areas,Lead Author,Jochen Hinkel,Global Climate Forum (GCF),Germany
Chapter 05,Coastal systems and low-lying areas,Lead Author,Abdellatif Khattabi,Ecole Nationale Forestiere d'Ingénieurs,Morocco
Chapter 05,Coastal systems and low-lying areas,Lead Author,Kathleen  McInnes,"Commonwealth Scientific and Industrial Research Organization, Marine and Atmospheric Research",Australia
Chapter 05,Coastal systems and low-lying areas,Lead Author,Yoshiki Saito,National Institute of Advanced Industrial Science and Technology,Japan
Chapter 05,Coastal systems and low-lying areas,Lead Author,Asbury  Sallenger,U.S. Geological Survey,United States
,,,,,
Chapter 05,Coastal systems and low-lying areas,Review Editor,Robert Nicholls,University of Southampton,United Kingdom
Chapter 05,Coastal systems and low-lying areas,Review Editor,Filipe Santos,University of Lisbon,Portugal
,,,,,
Chapter 05,Coastal systems and low-lying areas,Volunteer Chapter Scientist,Sara  Amez Garcia,Foundation for Environmental Hydraulics Institute,Spain
,,,,,
Chapter 05,Coastal systems and low-lying areas,Contributing Author,So-Min Cheong,,Republic of Korea
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Kirstin Dow,,United States
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Carlos M. Duarte,,Australia / Spain
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Kristie L. Ebi,,United States
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Lucy Faulkner,,United Kingdom
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Masahiko Isobe,,Japan
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Jack Middelburg,,Netherlands
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Susanne Moser,,United States
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Mark Pelling,,United Kingdom
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Edmund Penning-Rowsell,,United Kingdom
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Sybil Seitzinger,,United States
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Marcel Stive,,Netherlands
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Richard S.J. Tol,,United Kingdom
Chapter 05,Coastal systems and low-lying areas,Contributing Author,Athanasios Vafeidis,,Greece / Germany
