#,Chapter,Role,Name (Country)
4SM,Observations: Cryosphere Supplementary Material,Coordinating Lead Author,David G. Vaughan (UK)
4SM,Observations: Cryosphere Supplementary Material,Coordinating Lead Author,Josefino C. Comiso (USA)
,,,
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Ian Allison (Australia)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Jorge Carrasco (Chile)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Georg Kaser (Austria/Italy)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Ronald Kwok (USA)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Philip Mote (USA)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Tavi Murray (UK)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Frank Paul (Switzerland/Germany)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Jiawen Ren (China)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Eric Rignot (USA)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Olga Solomina (Russian Federation)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Konrad Steffen (USA/Switzerland)
4SM,Observations: Cryosphere Supplementary Material,Lead Author,Tingjun Zhang (USA/China)
,,,
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Anthony A. Arendt (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,David B. Bahr (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Michiel van den Broeke (Netherlands)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Ross Brown (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,J. Graham Cogley (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Alex S. Gardner (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Sebastian Gerland (Norway)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Stephan Gruber (Switzerland)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Christian Haas (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Jon Ove Hagen (Norway)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Regine Hock (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,David Holland (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Matthias Huss (Switzerland)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Thorsten Markus (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Ben Marzeion (Austria)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Rob Massom (Australia)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Geir Moholdt (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Pier Paul Overduin (Germany)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Antony Payne (UK)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,W. Tad Pfeffer (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Terry Prowse (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Valentina Radić (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,David Robinson (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Martin Sharp (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Nikolay Shiklomanov (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Sharon Smith (Canada)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Sharon Stammerjohn (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Isabella Velicogna (USA)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Peter Wadhams (UK)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Anthony Worby (Australia)
4SM,Observations: Cryosphere Supplementary Material,Contributing Author,Lin Zhao (China)
,,,
4SM,Observations: Cryosphere Supplementary Material,Review Editor,Jonathan Bamber (UK)
4SM,Observations: Cryosphere Supplementary Material,Review Editor,Philippe Huybrechts (Belgium)
4SM,Observations: Cryosphere Supplementary Material,Review Editor,Peter Lemke (Germany)
