Chapter,Title,Role,Name,Institution,Country
Chapter 08,Urban areas,Coordinating Lead Author,Aromar Revi,Indian Institute for Human Settlements,India
Chapter 08,Urban areas,Coordinating Lead Author,David Satterthwaite,International Institute for Environment and Development,United Kingdom
,,,,,
Chapter 08,Urban areas,Lead Author,Fernando Aragón-Durand,Researcher and Independent Consultant,Mexico
Chapter 08,Urban areas,Lead Author,Jan Corfee-Morlot,Organisation for Economic Co-operation and Development,United States / OECD
Chapter 08,Urban areas,Lead Author,Robert B. R. Kiunsi,Disaster Management Training Centre at Ardhi University,United Republic of Tanzania
Chapter 08,Urban areas,Lead Author,Mark Pelling,King's College London,United Kingdom
Chapter 08,Urban areas,Lead Author,Debra Roberts,Ethekwini Municipality,South Africa
Chapter 08,Urban areas,Lead Author,William Solecki,City University of New York,United States
,,,,,
Chapter 08,Urban areas,Review Editor,John Balbus,Department of Health & Human Services / National Institutes of Health,United States
Chapter 08,Urban areas,Review Editor,Omar-Dario Cardona,"Universidad Nacional de Colombia, Instituto de Estudios Ambientales (IDEA)",Colombia
,,,,,
Chapter 08,Urban areas,Volunteer Chapter Scientist,Alice Sverdlik,University of California Berkeley / Department of City and Regional Planning,United States
,,,,,
Chapter 08,Urban areas,Contributing Author,Jo da Silva,,United Kingdom
Chapter 08,Urban areas,Contributing Author,David Dodman,,Jamaica
Chapter 08,Urban areas,Contributing Author,Andrew Maskrey,,United Kingdom
Chapter 08,Urban areas,Contributing Author,Sumetee Pahwa Gajjar,,India
Chapter 08,Urban areas,Contributing Author,Rafael Tuts,,Belgium
