Chapter,Title,Role,Name,Institution,Country
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Coordinating Lead Author,Matthew Collins,University of Exeter,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Coordinating Lead Author,Reto Knutti,ETH Zurich,Switzerland
,,,,,
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Julie Arblaster,Bureau of Meteorology,Australia
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Jean-Louis Dufresne,Laboratoire de Météorologie Dynamique,France
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Thierry Fichefet,Université catholique de Louvain,Belgium
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Pierre Friedlingstein,University of Exeter,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Xuejie Gao,China Meteorological Administration,China
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,William J. Gutowski,Iowa State University,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Tim Johns,Met Office Hadley Centre,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Gerhard Krinner,Laboratoire de Glaciologie et Géophysique de l`Environnement,France
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Mxolisi Shongwe,South African Weather Service,South Africa
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Claudia Tebaldi,"Climate Central, Inc.",USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Andrew J. Weaver,University of Victoria,Canada
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Lead Author,Michael Wehner,Lawrence Berkeley National Laboratory,USA
,,,,,
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Sylvie Joussaume,Laboratoire des Sciences du Climat et de l'Environnement,France
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Abdalah Mokssit,Direction de la Météorologie Nationale,Morocco
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Karl Taylor,Lawrence Livermore National Laboratory,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Review Editor,Simon Tett,University of Edinburgh,UK
,,,,,
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Myles R. Allen,,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Tim Andrews,,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Urs Beyerle,,Switzerland
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Cecilia M. Bitz,,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Sandrine Bony,,France
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Ben B.B. Booth,,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Harold E. Brooks,,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Victor Brovkin,,Germany
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Oliver Browne,,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Claire Brutel-Vuilmet,,France
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Mark Cane,,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Robin Chadwick,,UK
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Ed Cook,,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Kerry H. Cook,,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Michael Eby,,Canada
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,John Fasullo,,USA
Chapter 12,"Long - term Climate Change: Projections, Commitm ents and Irreversibility",Contributing Author,Erich Fischer,,Switzerland
