Chapter,Title,Role,Name,Institution,Country
Chapter 06,Ocean systems,Coordinating Lead Author,David Karl,University of Hawaii,United States
Chapter 06,Ocean systems,Coordinating Lead Author,Hans-O. Pörtner,Alfred-Wegener-Institute for Polar and Marine Research,Germany
,,,,,
Chapter 06,Ocean systems,Lead Author,Phil Boyd,Institute of Marine and Antarctic Studies (IMAS),New Zealand / Australia
Chapter 06,Ocean systems,Lead Author,William Cheung,University of British Columbia,Canada
Chapter 06,Ocean systems,Lead Author,Salvador Lluch-Cota,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Mexico
Chapter 06,Ocean systems,Lead Author,Yukihiro Nojiri,National Institute for Environmental Studies,Japan
Chapter 06,Ocean systems,Lead Author,Daniela Schmidt,University of Bristol,United Kingdom
Chapter 06,Ocean systems,Lead Author,Peter Zavialov,P.P. Shirshov Institute of Oceanology,Russian Federation
,,,,,
Chapter 06,Ocean systems,Review Editor,Kenneth Drinkwater,Institute of Marine Research,Norway
Chapter 06,Ocean systems,Review Editor,Alexander Polonsky,Marine Hydrophysical Institute of National Academy of Sciences,Ukraine
,,,,,
Chapter 06,Ocean systems,Volunteer Chapter Scientist,Lena Menzel,Alfred Wegener Institute for Polar and Marine Research,Germany
Chapter 06,Ocean systems,Volunteer Chapter Scientist,Astrid Wittman,Alfred Wegener Institute for Polar and Marine Research,Germany
,,,,,
Chapter 06,Ocean systems,Contributing Author,Jürgen Alheit,,Germany
Chapter 06,Ocean systems,Contributing Author,Javier Aristegui,,Spain
Chapter 06,Ocean systems,Contributing Author,Claire Armstrong,,Norway
Chapter 06,Ocean systems,Contributing Author,Gregory Beaugrand,,France
Chapter 06,Ocean systems,Contributing Author,Vsevolod Belkovich,,Russian Federation
Chapter 06,Ocean systems,Contributing Author,Chris Bowler,,France
Chapter 06,Ocean systems,Contributing Author,Peter G. Brewer,,United States
Chapter 06,Ocean systems,Contributing Author,Matthew Church,,United States
Chapter 06,Ocean systems,Contributing Author,Sarah Cooley,,United States
Chapter 06,Ocean systems,Contributing Author,Pablo Del Monte-Luna,,Mexico
Chapter 06,Ocean systems,Contributing Author,Martin Edwards,,United Kingdom
Chapter 06,Ocean systems,Contributing Author,Mikhail Flint,,Russian Federation
Chapter 06,Ocean systems,Contributing Author,Mick Follows,,United States
Chapter 06,Ocean systems,Contributing Author,Thomas Frölicher,,Switzerland
Chapter 06,Ocean systems,Contributing Author,Elizabeth A. Fulton,,Australia
Chapter 06,Ocean systems,Contributing Author,Jean-Pierre Gattuso,,France
Chapter 06,Ocean systems,Contributing Author,Ove Hoegh-Guldberg,,Australia
Chapter 06,Ocean systems,Contributing Author,Eileen Hofmann,,United States
Chapter 06,Ocean systems,Contributing Author,Andrew Knoll,,United States
Chapter 06,Ocean systems,Contributing Author,Lisa Levin,,United States
Chapter 06,Ocean systems,Contributing Author,Lena Menzel,,Germany
Chapter 06,Ocean systems,Contributing Author,Coleen Moloney,,South Africa
Chapter 06,Ocean systems,Contributing Author,Ian Perry,,Canada
Chapter 06,Ocean systems,Contributing Author,Elvira Poloczanska,,Australia / UK
Chapter 06,Ocean systems,Contributing Author,J. Murray Roberts,,United Kingdom
Chapter 06,Ocean systems,Contributing Author,Björn Rost,,Germany
Chapter 06,Ocean systems,Contributing Author,Jorge Sarmiento,,United States
Chapter 06,Ocean systems,Contributing Author,Jan Sedláček,,Switzerland
Chapter 06,Ocean systems,Contributing Author,Daniela Storch,,Germany
Chapter 06,Ocean systems,Contributing Author,Christian Wiencke,,Germany
Chapter 06,Ocean systems,Contributing Author,Astrid Wittman,,Germany
