#,Chapter,Role,Name (Country)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Geert Jan van Oldenborgh (Netherlands)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Matthew Collins (UK)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Julie Arblaster (Australia)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Jens Hesselbjerg Christensen (Denmark)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Jochem Marotzke (Germany)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Scott B. Power (Australia)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Markku Rummukainen (Sweden)
AI,Annex I: Atlas of Global and Regional Climate Projections,Editorial Team,Tianjun Zhou (China)
,,,
AI,Annex I: Atlas of Global and Regional Climate Projections,Advisory Board,David Wratt (New Zealand)
AI,Annex I: Atlas of Global and Regional Climate Projections,Advisory Board,Francis Zwiers (Canada)
AI,Annex I: Atlas of Global and Regional Climate Projections,Advisory Board,Bruce Hewitson (South Africa)
,,,
AI,Annex I: Atlas of Global and Regional Climate Projections,Review Editor Team,Pascale Delecluse (France)
AI,Annex I: Atlas of Global and Regional Climate Projections,Review Editor Team,John Fyfe (Canada)
AI,Annex I: Atlas of Global and Regional Climate Projections,Review Editor Team,Karl Taylor (USA)
