Chapter,Role,Name (Country)
,,
Introduction: Scope the Assessment,Lead Author,A. Amano (Japan)
Introduction: Scope the Assessment,Lead Author,J. Goldemberg (Brazil)
Introduction: Scope the Assessment,Lead Author,R. Saha (N/A)
Introduction: Scope the Assessment,Lead Author,X. Shaoxiong (China)
Introduction: Scope the Assessment,Lead Author,R. Squitieri (N/A)
Introduction: Scope the Assessment,Lead Author,J. Stiglitz (USA)
,,
Introduction: Scope the Assessment,Contributing Author,Sally Kane (USA)
Introduction: Scope the Assessment,Contributing Author,John M. Reilly (USA)
Introduction: Scope the Assessment,Contributing Author,T.J. Teisberg (USA)
,,
