Name,Institution,Country
"LEE, Myung-Kyoon",Keimyung University and the Global Green Growth Institute,Republic of Korea
"LEFÈVRE, Benoit",World Resources Institute (WRI),USA
"LEIVA, Jorge",GreenLane Consultores Ltda.,Chile
"LESSMANN, Kai",Potsdam Institute for Climate Impact Research,Germany
"LEWIS, Joanna",Georgetown University,USA
"LING, Chee Yoke",Third World Network,Malaysia
"LINNEROOTH-BAYER, Joanne",International Institute for Applied Systems Analysis (IIASA),Austria
"LIPHOTO, Enoch",Eskom Holdings SOC Limited,South Africa
"LLANES-REGUEIRO, Juan F.",Havana University,Cuba
"LONGDEN, Tom",Fondazione Eni Enrico Mattei,Italy
"LÖSCHEL, Andreas",Westfälische Wilhelms-Universität Münster,Germany
"LOWE, Jason",University of Reading,UK
"LUCON, Oswaldo",São Paulo State Environment Secretariat,Brazil
"LUDERER, Gunnar",Potsdam Institute for Climate Impact Research (PIK),Germany
"LUTZ, Wolfgang",International Institute for Applied Systems Analysis (IIASA),Austria
"LWASA, Shuaib",Makerere University,Uganda
"MACHADO-FILHO, Haroldo de Oliveira",UNDP / Brazil,Brazil
"MADHUSUDANAN, Rahul",University of California,USA
"MAHER, Kathryn","University of California, Santa Barbara",USA
"MANAGI, Shunsuke",Tohoku University,Japan
"MARANGONI, Giacomo",Fondazione Eni Enrico Mattei (FEEM),Italy
"MARCOTULLIO, Peter J.",Hunter College,USA
"MARQUARD, Andrew",University of Cape Town,South Africa
"MASERA, Omar",UNAM,Mexico
"MASSETTI, Emanuele",Fondazione Eni Enrico Mattei (FEEM) and CMCC,Italy
"MATHUR, Ritu",The Energy & Resources Institute (TERI),India
"MBOW, Cheikh",University Cheikh Anta Diop of Dakar,Senegal
"MCCOLLUM, David",International Institute for Applied Systems Analysis (IIASA),Austria
"MCKINNON, Alan",Kühne Logistics University,Germany
"MCMAHON, James E.",Lawrence Berkeley National Laboratory,USA
"MEHLING, Michael","Ecologic Institute, Washington DC",USA
"MESSOULI, Mohammed",Université Cadi Ayyad,Morocco
"MEYER, Lukas",University of Graz,Austria
"MICHAELOWA, Axel",University of Zurich,Switzerland
"MICHIELSEN, Thomas",Universitiy of Oxford,UK
"MILLARD-BALL, Adam",University of California-Santa Cruz,USA
"MILLS, Andrew",Lawrence Berkeley National Laboratory,USA
"MINX, Jan Christoph",Potsdam Institute for Climate Impact Research,Germany
"MIRASGEDIS, Sevastianos",National Observatory of Athens,Greece
"MITCHELL, Catherine",University of Exeter,UK
"MOLODOVSKAYA, Marina",The University of British Columbia,Canada
"MONTERO, Juan Pablo",Catholic University of Chile,Chile
"MOORE, Nigel",Institute for Advanced Sustainability Studies,Germany
"MOREIRA CESAR BORBA, Bruno Soares",Federal University of Rio de Janeiro,Brazil
"MORGAN, Jennifer",World Resources Institute,USA
"MORITA, Kanako",National Institute for Environmental Studies,Japan
"MOURATIADOU, Ioanna",PIK,Germany
"MÜLLER, Daniel B.",Norwegian University of Science and Technology,Norway
"MULLER, Duane Marie","Eastern Research Group, Inc.",USA
"MULUGETTA, Yacob",University of Surrey,UK
"MUNDACA, Luis",Lund University,Sweden
"MURAKAMI, Jin","City University of Hong Kong, HKSAR",China
"MURAKAMI, Shuzo",Building Research Institute,Japan
"MUVUNDIKA, Alick",National Institute for Scientific and Industrial Research,Zambia
"MUYLAERT DE ARAUJO, Maria Silvia",Federal University of Rio de Janeiro,Brazil
"NABUURS, Gert-Jan",Wageningen UR,Netherlands
"NAGENDRA, Harini",Ashoka Trust for Research in Ecology and the Environment (ATREE),India
"NAKICENOVIC, Nebojsa",Vienna University of Technology,Austria
"NANSAI, Kaisuke",National Institute for Environmental Studies (NIES),Japan
"NEELIS, Maarten","Ecofys Netherlands B.V, China",China
"NENOV, Valentin",Burgas University,Bulgaria
"NEUHOFF, Karsten",DIW Berlin,Germany
"NEWELL, Richard",Duke University,USA
"NEWMAN, Peter",Curtin University,Australia
"NIMIR, Hassan Bashir",University of Khartoum,Sudan
"NORGAARD, Richard B.","University of California, Berkeley",USA
"OCKENFELS, Axel",University of Cologne,Germany
"OFOSU AHENKORAH, Alfred",Energy Commission,Ghana
"OKEREKE, Chukwumerije",University of Reading,UK
"OLIVIER, Jos",PBL Netherlands Environmental Assessment Agency,Netherlands
"OLMSTEAD, Sheila",Resources for the Future,USA
"OUYANG, Minggao",Tsinghua University,China
"PAHLE, Michael",Potsdam Institute for Climate Impact Research (PIK,Germany
"PALTSEV, Sergey",Massachusetts Institute of Technology,USA
"PÁLVÖLGYI, Tamás",Budapest University of Technology and Economics,Hungary
"PAN, Jiahua",Chinese Academy of Social Sciences (CASS),China
"PARIKH, Jyoti",Integrated Research and Action for Development (IRADe),India
"PARIKH, Kirit S.",Integrated Research and Action for Development (IRADe),India
"PATERSON, Matthew",University of Ottawa,Canada
"PATERSON, Matthew",University of Ottawa,Canada
"PATHAK, Himanshu",Indian Agricultural Research Institute,India
"PATT, Anthony",Swiss Federal Institute of Technology (ETH),Austria
"PAULY, Daniel",The University of British Columbia,Canada
"PEETERS, Paul",NHTV Breda University of Professional Education,Netherlands
"PERCZYK, Daniel",Instituto Torcuato di Tella,Argentina
"PEREZ ARRIAGA, Ignacio",Comillas University,Spain
"PETERMANN, Nils",PIK,Germany
"PETRICHENKO, Ksenia",Central European University,Hungary
"PICHLER, Peter Paul",Potsdam Institute for Climate Impact Research,Germany
"PICHS MADRUGA, Ramon","Co-Chair IPCC WGIII, Centro de Investigacio nes de la Economía Mundial",Cuba
"PINGUELLI ROSA, Luiz",Federal University of Rio de Janeiro,Brazil
"PIZER, William A.",Sanford School of Public Policy,USA
"PLEVIN, Richard","University of California, Berkeley",USA
"PLOTKIN, Steven",Argonne National Laboratory,USA
"POPP, Alexander",Potsdam-Institut für Klimafolgenforschung,Germany
"POPP, David",Syracuse University,USA
