Chapter,Role,Name,Country
Transport and its Infrastructure,Coordinating Lead Author,Suzana Kahn Ribeiro,Brazil
Transport and its Infrastructure,Coordinating Lead Author,Shigeki Kobayashi,Japan
,,,
Transport and its Infrastructure,Lead Author,Michel Beuthe,Belgium
Transport and its Infrastructure,Lead Author,Jorge Gasca,Mexico
Transport and its Infrastructure,Lead Author,David L. Greene,USA
Transport and its Infrastructure,Lead Author,David S. Lee,United Kingdom
Transport and its Infrastructure,Lead Author,Yasunori Muromachi,Japan
Transport and its Infrastructure,Lead Author,Peter J. Newton,United Kingdom
Transport and its Infrastructure,Lead Author,Steven Plotkin,USA
Transport and its Infrastructure,Lead Author,Daniel Sperling,USA
Transport and its Infrastructure,Lead Author,Ron Wit,The Netherlands
Transport and its Infrastructure,Lead Author,Peter P. Zhou,Botswana
,,,
Transport and its Infrastructure,Contributing Author,Hiroshi Hata,Japan
Transport and its Infrastructure,Contributing Author,Ralph E. H. Sims,New Zealand
Transport and its Infrastructure,Contributing Author,Kjell Olav Skjolsvik,Norway
,,,
Transport and its Infrastructure,Review Editor,Ranjan K. Bose,India
Transport and its Infrastructure,Review Editor,Haroon Kheshgi,USA
